symbol,date,price_mult
JPASSOCIAT,2009-12-17,0.66666667
KRBL,2010-02-10,0.1
CGPOWER,2010-03-08,0.57142857
PIDILITIND,2010-03-15,0.5
RENUKA,2010-03-15,0.5
IPCALAB,2010-03-22,0.2
M&M,2010-03-29,0.5
ZYDUSLIFE,2010-04-05,0.66666667
CASTROLIND,2010-04-09,0.5
CYIENT,2010-06-10,0.5
WIPRO,2010-06-15,0.6
KANSAINER,2010-06-23,0.5
TATACONSUM,2010-06-30,0.1
ECLERX,2010-07-23,0.66666667
ITC,2010-08-03,0.5
HCC,2010-08-10,0.5
REDINGTON,2010-08-20,0.2
LUPIN,2010-08-27,0.2
APOLLOHOSP,2010-09-02,0.5
BAJAJ-AUTO,2010-09-08,0.5
BRITANNIA,2010-09-08,0.2
DABUR,2010-09-08,0.5
TVSMOTOR,2010-09-08,0.5
KOTAKBANK,2010-09-13,0.5
ASTRAL,2010-09-15,0.5
KARURVYSYA,2010-09-16,0.71428571
ADANIPORTS,2010-09-23,0.2
SOUTHBANK,2010-09-23,0.1
NAUKRI,2010-09-27,0.5
HAVELLS,2010-10-08,0.5
PARSVNATH,2010-10-18,0.5
SUPREMEIND,2010-10-18,0.2
JISLJALEQS,2010-10-29,0.2
ZEEL,2010-11-11,0.5
SUNPHARMA,2010-11-25,0.2
BALKRISIND,2010-12-20,0.2
COROMANDEL,2010-12-23,0.5
EIDPARRY,2010-12-23,0.5
LICHSGFIN,2010-12-30,0.2
SHOPERSTOP,2011-01-12,0.5
ONGC,2011-02-08,0.5
AUROPHARMA,2011-02-10,0.2
HINDZINC,2011-03-07,0.2
NATIONALUM,2011-03-15,0.5
ONMOBILE,2011-05-03,0.5
TITAN,2011-06-23,0.1
HDFCBANK,2011-07-14,0.2
ASHOKLEY,2011-08-02,0.5
PIIND,2011-08-17,0.5
TMPV,2011-09-12,0.2
CUMMINSIND,2011-09-20,0.71428571
TATAPOWER,2011-09-26,0.1
CRISIL,2011-09-28,0.1
BHEL,2011-10-03,0.2
CARBORUNIV,2011-10-05,0.5
JISLJALEQS,2011-11-08,0.95238095
OIL,2012-03-29,0.4
OPTOCIRCUI,2012-03-29,0.76923077
VAKRANGEE,2012-04-12,0.1
NAUKRI,2012-06-22,0.5
BPCL,2012-07-13,0.5
AJANTPHARM,2012-08-09,0.5
CASTROLIND,2012-09-04,0.5
GSFC,2012-09-20,0.2
MOTHERSON,2012-10-03,0.66666667
SUNDARMFIN,2012-12-13,0.5
M&MFIN,2013-02-15,0.2
PIIND,2013-04-12,0.2
LT,2013-07-11,0.66666667
TORNTPHARM,2013-07-23,0.5
SUNPHARMA,2013-07-29,0.5
ASIANPAINT,2013-07-30,0.1
TTML,2013-08-07,0.88235294
ASTRAL,2013-09-05,0.4
CONCOR,2013-09-06,0.66666667
AJANTPHARM,2013-09-17,0.66666667
ALEMBICLTD,2013-09-27,0.5
FEDERALBNK,2013-10-17,0.2
OMAXE,2013-11-11,0.79591837
GODREJPROP,2013-11-21,0.5
RELAXO,2013-11-22,0.2
MOTHERSON,2013-12-20,0.66666667
KSCL,2014-01-27,0.2
AXISBANK,2014-07-28,0.2
HAVELLS,2014-08-26,0.2
J&KBANK,2014-09-04,0.1
ASTRAL,2014-09-25,0.5
SBIN,2014-11-20,0.1
GODFRYPHLP,2014-11-28,0.2
INFY,2014-12-02,0.5
ICICIBANK,2014-12-04,0.2
PNB,2014-12-18,0.2
GODREJIND,2015-01-05,0.99920064
HATHWAY,2015-01-06,0.2
BERGEPAINT,2015-01-08,0.5
BANKBARODA,2015-01-22,0.2
HIKAL,2015-02-27,0.2
PERSISTENT,2015-03-10,0.5
HCLTECH,2015-03-19,0.5
TECHM,2015-03-19,0.5
AJANTPHARM,2015-03-20,0.4
KANSAINER,2015-03-26,0.1
SAIL,2015-05-13,0.2
INFY,2015-06-15,0.5
RELAXO,2015-07-01,0.5
FEDERALBNK,2015-07-08,0.5
KOTAKBANK,2015-07-08,0.5
AUROPHARMA,2015-07-20,0.5
MOTHERSON,2015-07-23,0.66666667
BEL,2015-09-14,0.33333333
COLPAL,2015-09-23,0.5
DIVISLAB,2015-09-23,0.5
ZYDUSLIFE,2015-10-06,0.2
ECLERX,2015-12-17,0.75
MARICO,2015-12-22,0.5
ITC,2016-07-01,0.66666667
BPCL,2016-07-13,0.5
SOLARINDS,2016-07-13,0.2
BERGEPAINT,2016-07-15,0.71428571
PFC,2016-08-26,0.5
BAJFINANCE,2016-09-08,0.2
TRENT,2016-09-12,0.1
UNOMINDA,2016-09-12,0.2
HINDPETRO,2016-09-14,0.33333333
RECLTD,2016-09-28,0.5
KAJARIACER,2016-10-04,0.5
GRASIM,2016-10-06,0.2
IOC,2016-10-18,0.5
KARURVYSYA,2016-11-17,0.2
KPRMILL,2016-11-29,0.5
ONGC,2016-12-15,0.66666667
JSWSTEEL,2017-01-04,0.1
OIL,2017-01-12,0.75
GAIL,2017-03-09,0.75
BEL,2017-03-16,0.1
CONCOR,2017-04-05,0.8
WIPRO,2017-06-13,0.5
BIOCON,2017-06-15,0.33333333
ICICIBANK,2017-06-20,0.90909091
GODREJCP,2017-06-22,0.5
PETRONET,2017-07-03,0.5
MOTHERSON,2017-07-05,0.66666667
PCJEWELLER,2017-07-06,0.5
MHRIL,2017-07-10,0.66666667
HINDPETRO,2017-07-11,0.66666667
BPCL,2017-07-13,0.66666667
LT,2017-07-13,0.66666667
SUNTECK,2017-07-25,0.5
RELIANCE,2017-09-07,0.5
TATAELXSI,2017-09-18,0.5
YESBANK,2017-09-21,0.2
MOIL,2017-09-27,0.5
BEL,2017-09-28,0.90909091
BHARATFORG,2017-09-28,0.5
BHEL,2017-09-28,0.66666667
BALKRISIND,2017-12-21,0.5
CASTROLIND,2017-12-21,0.5
M&M,2017-12-21,0.5
VAKRANGEE,2017-12-21,0.5
IOC,2018-03-15,0.5
GAIL,2018-03-27,0.75
OIL,2018-03-27,0.66666667
TCS,2018-05-31,0.5
JUBLFOOD,2018-06-21,0.5
HIKAL,2018-06-22,0.66666667
CONCOR,2018-06-26,0.5
NIACL,2018-06-27,0.5
UNOMINDA,2018-07-11,0.33333333
GICRE,2018-07-12,0.5
KARURVYSYA,2018-08-14,0.90909091
INFY,2018-09-04,0.5
GLAXO,2018-09-11,0.5
GODREJCP,2018-09-12,0.66666667
MOTHERSON,2018-10-30,0.66666667
BRITANNIA,2018-11-29,0.5
GUJGASLTD,2019-01-15,0.2
CONCOR,2019-02-04,0.8
WIPRO,2019-03-06,0.75
NTPC,2019-03-19,0.83333333
TTKPRESTIG,2019-05-15,0.83333333
BIOCON,2019-06-12,0.5
CHOLAFIN,2019-06-14,0.2
RELAXO,2019-06-26,0.5
UPL,2019-07-02,0.66666667
GAIL,2019-07-09,0.5
CHOLAFIN,2019-07-22,0.2
VBL,2019-07-25,0.66666667
ASTRAL,2019-09-16,0.8
HDFCBANK,2019-09-19,0.5
PATANJALI,2019-11-14,100.0
HCLTECH,2019-12-05,0.5
KTKBANK,2020-03-17,0.90909091
EICHERMOT,2020-08-24,0.1
LAURUSLABS,2020-09-29,0.2
APLAPOLLO,2020-12-15,0.2
ASTRAL,2021-03-18,0.75
DIXON,2021-03-18,0.2
VBL,2021-06-10,0.66666667
POWERGRID,2021-07-29,0.75
REDINGTON,2021-08-18,0.5
MHRIL,2021-09-08,0.66666667
MAHLIFE,2021-09-14,0.33333333
APLAPOLLO,2021-09-16,0.5
KPRMILL,2021-09-24,0.2
SRF,2021-10-13,0.2
IRCTC,2021-10-28,0.2
TTKPRESTIG,2021-12-14,0.1
IPCALAB,2022-01-10,0.5
SCHAEFFLER,2022-02-08,0.2
BSE,2022-03-21,0.33333333
VTL,2022-03-24,0.2
JUBLFOOD,2022-04-19,0.2
VBL,2022-06-06,0.66666667
AUBANK,2022-06-09,0.5
UNOMINDA,2022-06-09,0.5
AJANTPHARM,2022-06-22,0.66666667
IOC,2022-06-30,0.66666667
UNOMINDA,2022-07-07,0.5
TORNTPHARM,2022-07-08,0.5
TATASTEEL,2022-07-28,0.1
RECLTD,2022-08-17,0.75
GAIL,2022-09-06,0.66666667
BAJAJFINSV,2022-09-13,0.2
BEL,2022-09-15,0.33333333
ECLERX,2022-09-21,0.66666667
MOTHERSON,2022-10-03,0.66666667
NYKAA,2022-11-10,0.16666667
MAHSEAMLES,2022-11-23,0.5
MAHSEAMLES,2022-11-25,0.5
IRB,2023-02-22,0.1
360ONE,2023-03-02,0.5
ASTRAL,2023-03-14,0.75
RNAVAL,2023-03-17,275.0
LODHA,2023-05-26,0.5
LODHA,2023-05-31,0.5
VBL,2023-06-15,0.5
BLUESTARCO,2023-06-20,0.5
KANSAINER,2023-07-04,0.66666667
RNAVAL,2023-07-14,275.0
POWERGRID,2023-09-12,0.75
JBCHEPHARM,2023-09-18,0.5
PFC,2023-09-21,0.8
BERGEPAINT,2023-09-22,0.83333333
HAL,2023-09-28,0.5
HAL,2023-09-29,0.5
NESTLEIND,2024-01-05,0.1
COCHINSHIP,2024-01-10,0.5
PERSISTENT,2024-03-28,0.5
CANBK,2024-05-15,0.2
BDL,2024-05-24,0.5
MOTILALOFS,2024-06-10,0.25
BPCL,2024-06-21,0.5
HINDPETRO,2024-06-21,0.66666667
OIL,2024-07-02,0.66666667
VBL,2024-09-12,0.4
PHOENIXLTD,2024-09-20,0.5
HEG,2024-10-18,0.2
