Date,AAL,ANTO,AUTO,AV,AZN,BAE,BARC,BATS,BLND,BP,BT-A,CNA,COB,COG,CTEC,DGE,DLG,DPLM,EXPN,FDM,FRES,GKN,GLEN,GSK,HIK,HLMA,HSBA,ICG,IMB,IMI,IPG,JD,LAND,LGEN,LLOY,LXI,MKS,MNG,MONY,NEM,NG,NWG,NXT,OCDO,PRU,QQ,RIO,RR,SAGE,SBRE,SBRY,SDRC,SGRO,SHEL,SN,SPX,SSE,STAN,SVT,TLW,TSCO,ULVR,UU,VMUK,VOD,WEIR,WPP
2016-01-04,270.0622253417969,444.4423828125,435.69464111328125,487.36712646484375,4463.884765625,,213.6324462890625,3660.489013671875,766.760498046875,345.43585205078125,457.7807312011719,211.21710205078125,,83.0,,1811.997314453125,,748.2176513671875,1155.165283203125,528.0914916992188,707.756591796875,,84.93476867675781,1366.40478515625,2227.52587890625,846.2232666015625,517.401123046875,674.4827880859375,3506.30712890625,838.6918334960938,,41.02065658569336,1237.68310546875,257.1438903808594,71.0506591796875,,412.20867919921875,,360.156982421875,,1004.6658325195312,314.5758361816406,7165.5693359375,285.3999938964844,1204.0540771484375,265.1949462890625,1887.869873046875,192.04689025878906,,,254.02975463867188,,403.80279541015625,1508.0634765625,1166.2215576171875,3184.517822265625,1496.5440673828125,540.449462890625,2142.177734375,144.82778930664062,179.24105834960938,3005.7890625,928.7943725585938,,214.59698486328125,952.1217651367188,1511.6458740234375
2016-01-05,275.2622375488281,445.638916015625,438.19171142578125,489.7177429199219,4547.61962890625,,214.6295166015625,3683.828857421875,780.692626953125,346.0321350097656,462.309814453125,213.90586853027344,,85.5,,1840.91748046875,,749.2159423828125,1154.1666259765625,517.6392211914062,717.7319946289062,,87.91301727294922,1387.9344482421875,2261.4423828125,844.2250366210938,519.588623046875,682.8787231445312,3512.75927734375,840.6863403320312,,40.58086395263672,1258.9130859375,259.6250305175781,71.2497329711914,,411.9245300292969,,361.05230712890625,,1012.6953125,318.54150390625,6836.6904296875,284.6000061035156,1219.337158203125,265.9931640625,1924.5850830078125,193.59019470214844,,,240.89541625976562,,407.9952697753906,1518.0111083984375,1176.19775390625,3219.458251953125,1511.459716796875,531.0711669921875,2146.162109375,139.97467041015625,181.95010375976562,3037.221435546875,936.2606201171875,,218.27301025390625,928.6681518554688,1533.553466796875
2016-01-06,262.821044921875,432.4762878417969,431.8990478515625,485.1142883300781,4508.24462890625,,211.1396026611328,3702.700927734375,767.7555541992188,341.3608093261719,465.1964416503906,212.7108612060547,,87.5,,1835.9310302734375,,738.7338256835938,1144.1822509765625,527.5938110351562,719.72705078125,,85.51249694824219,1382.427490234375,2224.533203125,840.2285766601562,505.3709716796875,677.2814331054688,3575.787841796875,811.7658081054688,,41.26054763793945,1236.6219482421875,254.36495971679688,70.68228912353516,,415.4283142089844,,368.11627197265625,,1030.8157958984375,315.32598876953125,6841.6728515625,289.29998779296875,1182.98828125,261.50341796875,1832.3006591796875,192.04689025878906,,,239.80091857910156,,408.6622314453125,1489.6602783203125,1173.204833984375,3185.5166015625,1511.459716796875,514.40966796875,2143.173828125,130.01303100585938,178.35899353027344,3002.59375,931.78076171875,,217.7265625,906.2124633789062,1519.6123046875
2016-01-07,233.90487670898438,409.4414367675781,426.01080322265625,471.98992919921875,4367.18896484375,,204.9574737548828,3639.6318359375,751.9024047851562,335.6457824707031,460.1199035644531,209.3250274658203,,87.5,,1795.542724609375,,718.7682495117188,1122.2176513671875,527.5938110351562,703.7662963867188,,78.40056610107422,1346.3770751953125,2186.6259765625,834.234130859375,499.1072998046875,658.8099365234375,3495.388916015625,794.8125,,41.74032211303711,1212.2080078125,245.5321502685547,69.17906188964844,,415.9017028808594,,361.4503173828125,,1030.59912109375,309.216796875,6916.41943359375,292.20001220703125,1144.9873046875,257.4127197265625,1770.7769775390625,187.24578857421875,,,237.5123748779297,,404.18402099609375,1446.8853759765625,1164.2264404296875,3169.543701171875,1478.6453857421875,504.6323547363281,2138.194580078125,127.71417999267578,175.39791870117188,2974.88916015625,926.3055419921875,,216.78271484375,871.2811279296875,1478.783935546875
2016-01-08,222.77587890625,397.1761169433594,438.19677734375,467.0928039550781,4335.291015625,,199.57305908203125,3606.3583984375,737.96923828125,326.700439453125,463.5041809082031,206.93502807617188,,87.5,,1805.0164794921875,,712.2792358398438,1109.23828125,517.6392211914062,691.2970581054688,,77.17540740966797,1373.4144287109375,2191.6142578125,836.73193359375,496.2239990234375,644.8167114257812,3482.4853515625,793.316650390625,,41.300533294677734,1186.732666015625,244.14276123046875,68.56182098388672,,407.8525695800781,,362.64422607421875,,1020.0739135742188,303.8575744628906,6801.80908203125,295.0,1136.7264404296875,260.1065979003906,1725.6270751953125,191.87551879882812,,,240.69642639160156,,400.6585998535156,1367.8016357421875,1152.2547607421875,3123.623291015625,1469.696044921875,504.3331298828125,2131.223388671875,118.26324462890625,185.10025024414062,2960.506103515625,929.7899780273438,,221.60122680664062,851.320556640625,1457.871826171875
2016-01-11,223.99081420898438,386.6060485839844,441.4930114746094,463.9586486816406,4242.08740234375,,199.12432861328125,3623.740234375,737.4716796875,326.05450439453125,460.8664855957031,205.3416748046875,,75.0,,1800.529052734375,,715.7733764648438,1099.2542724609375,519.630126953125,679.8253173828125,,73.14132690429688,1349.3812255859375,2150.71484375,844.7245483398438,494.9315490722656,634.7413940429688,3485.462646484375,785.3388061523438,,40.50090408325195,1186.732666015625,242.95179748535156,68.6215591430664,,400.3716125488281,,375.1800537109375,,1021.0504150390625,300.5351257324219,6761.9443359375,276.79998779296875,1126.400146484375,253.42181396484375,1683.949951171875,189.30340576171875,,,242.08944702148438,,400.5633544921875,1346.9112548828125,1135.295654296875,3108.648681640625,1466.7127685546875,505.4305725097656,2121.264404296875,112.98440551757812,183.2731475830078,2943.98974609375,932.2787475585938,,219.36585998535156,848.8255004882812,1446.917724609375
2016-01-12,225.9833221435547,373.0443420410156,440.49420166015625,470.814697265625,4310.36962890625,,201.7667236328125,3672.904541015625,741.4523315429688,321.134521484375,471.2185363769531,205.74002075195312,,75.0,,1831.9423828125,,704.792236328125,1131.202880859375,517.6392211914062,679.8253173828125,,71.7169418334961,1365.4034423828125,2186.6259765625,855.7144165039062,502.1894226074219,653.212646484375,3562.88525390625,791.8207397460938,,40.74078369140625,1194.1627197265625,243.84500122070312,68.98990631103516,,404.1595153808594,,370.7030029296875,,1029.73095703125,303.75054931640625,6746.99560546875,280.5,1132.5955810546875,254.12017822265625,1639.296142578125,190.6752166748047,,,249.9501190185547,,403.80279541015625,1343.9271240234375,1157.242919921875,3132.607666015625,1462.7352294921875,512.7136840820312,2120.268310546875,104.81076049804688,195.55859375,3012.7158203125,933.2739868164062,,219.8625946044922,850.3225708007812,1476.7923583984375
2016-01-13,224.96278381347656,367.7593688964844,434.4012145996094,471.89202880859375,4382.64208984375,,201.1185760498047,3695.74853515625,738.9644165039062,333.80694580078125,473.95587158203125,209.3250274658203,,75.0,,1846.4022216796875,,716.2723999023438,1141.187744140625,537.5484008789062,690.2994995117188,,71.58746337890625,1386.4324951171875,2205.580078125,847.7218627929688,501.89117431640625,656.0114135742188,3587.202880859375,804.28662109375,,42.30005645751953,1193.1007080078125,245.7306365966797,67.49662017822266,,405.9587097167969,,367.9172668457031,,1022.4610595703125,302.0356140136719,6682.21630859375,278.79998779296875,1143.335693359375,253.6213836669922,1670.5538330078125,192.21839904785156,,,246.46759033203125,,406.47076416015625,1338.953369140625,1147.2664794921875,3060.731201171875,1474.6676025390625,515.108154296875,2125.248046875,109.74897766113281,199.4647216796875,3047.877197265625,937.2561645507812,,221.05482482910156,872.7783813476562,1470.8172607421875
2016-01-14,255.57981872558594,371.8477783203125,414.4241638183594,464.840087890625,4309.37255859375,,197.13009643554688,3614.8017578125,728.5145263671875,345.5849304199219,464.8480529785156,211.21710205078125,,70.0,,1805.0164794921875,,718.2688598632812,1130.2052001953125,522.6166381835938,700.7735595703125,,78.3109130859375,1382.427490234375,2098.842041015625,821.2461547851562,499.1072998046875,654.332275390625,3509.284912109375,810.2700805664062,,44.05923080444336,1164.441162109375,243.34881591796875,66.2322998046875,,402.5496826171875,,349.4119567871094,,1016.9271240234375,296.8908996582031,6647.93017578125,269.0,1134.2476806640625,249.15020751953125,1721.658203125,190.8466033935547,,,248.75613403320312,,404.94622802734375,1384.2154541015625,1123.32373046875,2992.84814453125,1451.7969970703125,517.6024169921875,2096.3671875,118.17816162109375,211.68722534179688,3004.723876953125,919.3372192382812,,218.76974487304688,889.245849609375,1439.9468994140625
2016-01-15,226.226318359375,349.61065673828125,400.6400451660156,454.9477844238281,4216.66650390625,,191.2471160888672,3570.60302734375,711.5953979492188,336.09295654296875,461.1650390625,206.13833618164062,,70.0,,1786.0689697265625,,693.3118286132812,1127.2095947265625,523.6119995117188,688.3043212890625,,73.2110366821289,1365.4034423828125,2020.0360107421875,803.76220703125,482.9012756347656,644.2567749023438,3488.44091796875,790.8235473632812,,45.298641204833984,1142.1502685546875,237.29483032226562,64.42044830322266,,400.3716125488281,,312.10284423828125,,1014.1058349609375,283.4933166503906,6717.69970703125,254.60000610351562,1104.5079345703125,246.3563690185547,1630.86181640625,186.55982971191406,,,242.6864471435547,,397.3236999511719,1343.9271240234375,1100.37841796875,2943.932373046875,1415.9993896484375,495.1543273925781,2075.453369140625,110.85591125488281,207.21401977539062,2981.816162109375,905.89794921875,,214.84539794921875,849.8235473632812,1428.9930419921875
