date,value
2020-01-01,99885.00860252514
2020-01-02,100368.02994957104
2020-01-03,101810.0846828474
2020-01-06,100470.98360862865
2020-01-07,102858.47185936107
2020-01-08,103870.65295066967
2020-01-09,105206.71926536695
2020-01-10,104775.65266075268
2020-01-13,103644.24128379955
2020-01-14,104118.79217186107
2020-01-15,104223.45351829662
2020-01-16,104574.84913292064
2020-01-17,105817.85348167553
2020-01-20,106321.95289268627
2020-01-21,105729.85567894115
2020-01-22,104791.6445278181
2020-01-23,105617.03773155346
2020-01-24,106567.33147850171
2020-01-27,105724.51360740795
2020-01-28,106674.05682029857
2020-01-29,107386.87470665111
2020-01-30,105790.07636680736
2020-01-31,105668.4888423933
2020-02-03,103578.96135445539
2020-02-04,104846.12600228155
2020-02-05,104953.55245754523
2020-02-06,106362.80765861945
2020-02-07,106995.49869865851
2020-02-10,107067.98603386358
2020-02-11,106175.85314648469
2020-02-12,105901.59115301399
2020-02-13,105346.60747331768
2020-02-14,105442.10360042538
2020-02-17,104884.4706200787
2020-02-18,104595.7788018414
2020-02-19,106888.04711238827
2020-02-20,106897.53185359921
2020-02-24,104757.50363933743
2020-02-25,104243.39137932376
2020-02-26,103463.30753851222
2020-02-27,102605.96039930813
2020-02-28,99149.39215673684
2020-03-02,99149.39215673684
2020-03-03,99149.39215673684
2020-03-04,99149.39215673684
2020-03-05,99149.39215673684
2020-03-06,99149.39215673684
2020-03-09,99149.39215673684
2020-03-11,99149.39215673684
2020-03-12,99149.39215673684
2020-03-13,99149.39215673684
2020-03-16,99149.39215673684
2020-03-17,99149.39215673684
2020-03-18,99149.39215673684
2020-03-19,99149.39215673684
2020-03-20,99149.39215673684
2020-03-23,99149.39215673684
2020-03-24,99149.39215673684
2020-03-25,99149.39215673684
2020-03-26,99149.39215673684
2020-03-27,99149.39215673684
2020-03-30,99149.39215673684
2020-03-31,99149.39215673684
2020-04-01,99149.39215673684
2020-04-03,99149.39215673684
2020-04-07,99149.39215673684
2020-04-08,99149.39215673684
2020-04-09,99149.39215673684
2020-04-13,99149.39215673684
2020-04-15,99149.39215673684
2020-04-16,99149.39215673684
