Date,AAPL,ABBV,ABNB,ABT,ACN,ADBE,AEP,AMAT,AMD,AMGN,AMT,AMZN,APD,AVGO,AXP,BA,BAC,BKNG,BLK,BRK-B,BSX,C,CAT,CCI,CCL,CI,CL,CMCSA,CME,COP,COST,CRM,CSCO,CVS,CVX,D,DE,DHR,DIS,DLR,DUK,EA,ECL,ELV,EMR,EOG,EQIX,ETN,EXC,F,FCX,FDX,GE,GILD,GIS,GM,GOOGL,GS,HAL,HD,HON,IBM,ICE,INTC,ISRG,JNJ,JPM,KLAC,KO,LIN,LLY,LMT,LOW,LRCX,MA,MCD,MCHP,MDLZ,META,MLM,MMM,MO,MPC,MRK,MS,MSFT,MU,NEE,NEM,NFLX,NKE,NOC,NOW,NUE,NVDA,O,ORCL,OXY,PEP,PFE,PG,PH,PLD,PM,PSX,QCOM,RCL,REGN,ROK,RTX,SBUX,SCHW,SHW,SLB,SO,SPG,SPGI,SYK,T,TJX,TMO,TMUS,TSLA,TTWO,TXN,UNH,UPS,V,VLO,VMC,VRTX,VZ,WELL,WFC,WMT,XEL,XOM,ZTS
2018-01-17,137547200,5384900,,5037500,2143100,2969500,2934700,17924200,39020800,4018200,1999700,105076000,806400,37365000,4469700,9699900,124382900,12892500,983900,4600700,5864700,20958400,5571400,2616500,3299300,1410600,3455200,18222333,1470000,5798400,2585200,4254700,24427100,7448700,5632700,4976800,1960400,2867827,7030700,2365700,4125200,2709000,1131700,1712100,3276100,3324300,627500,1379400,8315262,132412500,16886600,1378100,39131904,11162800,3186500,15855700,27830000,8608100,8479900,3996100,3501541,12248660,1954700,32368600,2689500,10619700,14940300,2047400,12143100,1751900,4083300,1009600,5296100,64971000,3136000,4129600,5706600,11557700,27992400,524000,3012724,7724500,3489700,22940615,11905200,25621200,38077100,9304400,5215700,91231000,7422600,613100,8877000,1952200,538408000,1718590,23183100,3109900,4554600,25332363,8345500,821200,2394200,4009400,2333400,12559100,1754400,738900,742400,6219028,8433800,8312200,2194500,8009600,10598400,1699300,1044300,1299700,29194465,7595000,1461700,2925600,106552500,1598200,6916700,5124800,3508800,7991500,2940700,698100,1270100,11591500,4696000,23892900,26045700,3839100,10546000,2769600
2018-01-18,124773600,6371200,,5658600,1715500,2539400,2704800,17677700,62086200,3084900,3416400,80538000,1032500,30319000,5290700,9458600,76463800,9965000,819600,5141500,6942000,15420800,4668800,2062500,2491000,1380300,4040100,23279059,1140900,4554800,1908000,3842800,19610200,8065800,5890000,6801100,2185900,1485125,8070900,1839500,4757600,4353800,911500,1205700,2356200,4564600,807400,2001600,9881857,66541700,23341000,1903100,35944841,8527500,2298800,11868100,27498000,4984500,8388000,4474600,2939961,14915228,2132800,26826500,2374200,5554800,14572900,1353100,11952900,1746700,4445800,973200,5956600,41988000,4150600,2154800,4833200,6824600,23304900,535600,2671266,8605000,3610600,20861278,13953900,24159700,25152100,7951200,4669400,82253000,5656900,598700,6464000,2798200,408632000,1982988,17119200,3012400,6221800,19946528,7699800,859700,3680700,4134600,1514000,6797900,1328400,596400,715300,5098465,9170900,5837300,1922100,10588500,9885100,1947600,1109500,1364200,36623296,5074800,1458500,4088700,85287000,1378900,7970300,6234200,3371100,8661000,2489400,1371700,1250900,29442600,3496400,16305900,36923700,4937900,9223700,2589000
2018-01-19,129700400,4991300,,7362300,2246700,2343000,3221600,11458700,46800700,3652300,3284700,91570000,1057400,29963000,12306000,7264400,66491000,15862500,591300,5140200,10023700,17814000,5796700,2867600,4096700,1363900,4480600,25172344,1558800,5037500,2353800,3120900,24582000,7963600,6048900,6529900,1613900,3240293,10514300,1467500,4536700,3534200,1068300,1523500,3538100,2920600,598900,3215000,11867509,51303700,22636100,1420400,44851332,7920900,4130400,14470800,30552000,4643400,10388000,5809600,4168395,22146435,3146900,25780200,2254500,8738800,18785500,988500,16187400,1678800,5826900,1511800,9558300,26150000,2947800,3746300,7529800,8893300,26826500,493400,2408146,8714000,3894300,12745671,15124200,36875000,41469200,8988000,3960100,105486000,12896100,874000,8026000,3272800,609380000,2040780,14011500,3224800,6002600,31133684,9364000,902500,3790300,5818900,1657500,8864300,1445500,665000,1015300,5140892,8361900,7439500,1959600,13389800,8808600,1805200,1088300,1196700,36965815,9128400,1439900,4768300,73324500,1272300,6367300,4293600,3891700,8250700,2368800,1428300,2085300,23761300,3011000,16524000,25135800,2863600,13090000,4829600
2018-01-22,108434400,4538100,,6841900,1720000,1701300,4622500,11479800,34758600,3579800,1826700,82802000,976800,27230000,4983600,6792900,53848800,9955000,843600,3267200,7973900,11561100,3540900,2837800,3752600,882200,2824700,23940706,910700,5748800,3009100,2214700,22995100,7016200,5248800,4394000,1401000,2440090,8073600,1565800,3720100,4235800,1543100,1267400,3521500,2233200,702000,2413400,13264042,52851900,17637600,1006300,28005019,7464500,3154700,19562100,29550000,5264700,17802800,4857700,3619104,8870917,1645700,27706800,2476800,7010400,12475700,1097200,9577400,1523400,6374000,1463000,7084300,28231000,2275900,3217900,3495600,6940100,21059500,480600,1985958,4987800,4365700,12835380,16858300,23601600,37879400,7438800,2860900,177033000,8491800,731300,6897500,2432300,550944000,1760076,16840000,4309400,4308600,21380495,8658000,835700,3172200,4762300,1348000,8566200,1738100,760100,897100,6520938,11945800,7245600,1710900,13192700,9649500,1751600,873400,1354700,41918634,8736600,1230300,2390300,93156000,1157600,7217400,4012200,3100000,9355000,2441200,1443600,1689000,27691300,2817900,12245200,21924900,3106500,10270400,4195100
2018-01-23,130756400,5095300,,8122100,1635800,3981000,3888500,8813500,46417200,3486700,2923400,103386000,1058600,35398000,4375200,4537800,56531400,11800000,643400,3659100,5609700,10080000,5036500,2996400,4189900,821200,3388900,20438919,842700,5478800,2316400,2816800,23984500,5780600,5747300,5204200,1365000,2688588,7477300,1445500,4033900,3449700,2388000,1007300,3205600,3150700,797600,2393700,9026637,51831000,27792100,1182800,25714786,7198800,2682900,14127600,39138000,4003600,13756800,3621700,4319943,7809645,1821200,22135100,1699200,17473600,12320800,1186200,11463700,1775300,5728100,1066200,6118200,43397000,3035300,3197600,3262000,6831600,25678800,523800,2179949,4596400,2852600,11718212,9372200,23412800,41334100,10592400,3284000,277053000,6412000,653700,6872000,2786800,475228000,1692274,14141400,3314000,3536900,18527212,18756300,940500,3554300,3778100,1436500,7825600,2094500,842200,1040000,9101156,10806800,7011500,2137800,9332600,10273700,2864000,776100,1103500,43739664,7822600,1267000,2872400,81981000,2236300,8087100,3300000,2952700,5683300,2120300,1118200,3058700,33000500,2759300,12937100,24863400,3110300,10281800,2264100
2018-01-24,204420400,4436500,,11704900,1951900,3250500,3519600,11787300,41956400,2765700,3061500,136150000,877700,45405000,4949500,4205400,81585000,10132500,642200,4294200,4514200,18108600,8241000,2405700,6755800,718600,3767900,52196360,1048400,4992000,2799200,4975500,26696200,7308500,6868200,5278100,1448700,2508221,7211800,1021700,3601700,6553600,2012500,1472800,3284300,2463900,612200,2862200,7695157,63300500,26371300,1421700,34850262,4530500,4391300,11321700,37128000,4314000,12321200,4370700,2938854,5904670,2029300,32464200,3024600,13034400,15904500,1320600,15964500,3701100,5977700,1360200,4127500,54649000,3912400,2810800,6566800,6794200,24334500,552300,4151316,6121800,3933900,14129241,8403600,33277500,31305700,7874400,8014400,173524000,7421800,857500,7162500,1872900,579972000,1719931,17205600,3356100,3445200,18673191,15141900,842400,3171700,4404100,1945300,12383100,4607300,712900,1456500,8806238,11911900,6351400,2255100,10369000,8133000,1802200,791200,1332300,37823767,6937400,1227400,2894300,79312500,1576000,19223900,2733300,2862900,6425200,3109500,1297900,2492700,21080400,2368100,20180300,20469300,2384600,10316100,2585300
2018-01-25,166116000,6327500,,15261900,1327100,2574200,3721100,15271900,42966600,2470300,2409500,95060000,2585900,59520000,3375200,4747500,62265800,8247500,892500,3088300,5563300,16178800,16937100,4370700,2863800,760500,4236300,29661640,1228100,5473400,3558700,4715100,19207500,6357400,4597200,3915500,1651300,2407152,6291000,1156800,4842900,3457700,1319800,1075800,3293700,2061200,929000,2592200,9659359,114886800,31662900,1603500,19834813,4708000,2352100,11386000,29984000,5055000,9436100,3537700,4519977,3454415,2095300,36758700,3937200,7938800,13510000,1855700,11755000,3391800,5201600,1782900,4864800,82788000,2088900,2815800,5448800,7402900,17377700,653500,4195448,12691800,2894300,9853610,9463800,26383200,40519200,9845200,5814400,153364000,5707600,1406000,6103500,3857400,409884000,1690829,13904300,2468700,2712900,18988232,11264400,960600,1625200,11823700,1864000,9122200,2058200,869800,1064800,7217874,16225600,7453700,4416900,7142000,6763800,1476900,748600,1009500,30981997,4852600,1668400,2798500,101104500,905000,8564800,2420500,3166800,7166400,2725300,1094000,1270600,18638700,2134400,17568700,17571300,3688700,11271900,2327300
2018-01-26,156572000,19614500,,10242800,1950700,2338100,4900600,11253500,44239000,3920300,2107900,97146000,2700900,49014000,3668700,5236300,52699900,9512500,516600,3640800,9570100,12807800,9045300,3328800,2811800,977000,13162400,29875893,1131300,5277700,2756200,3927400,23380400,5883300,6310500,5245200,1554500,2744875,7743800,1375500,3944500,3417600,1189200,1213300,3587500,2170900,1228700,1863300,10535609,52496000,18346700,1522200,18965005,14617200,5439000,9131200,42170000,3535400,7495100,3778100,5556901,3962143,1280500,86916100,5459700,8065600,13883900,2314500,16671200,1870000,6394100,2057300,4017200,47616000,2191600,3957700,6504400,5733000,17759200,591200,4461798,6819100,3556100,11060278,8382200,29172200,27177500,14587200,3338400,110218000,6290500,1297900,7373000,2778200,516356000,1726123,14909200,2345900,3993900,51441419,11503100,1162700,1611900,6000700,2645100,7919000,1569000,1429600,873000,5090520,51851700,8782000,2871900,6055300,8851900,1574700,1091200,1310200,28609654,7546400,1162000,2028400,68091000,1215600,7801600,2615300,2044500,5604900,2122200,1570800,1495100,13077600,2206400,16251900,20358900,2656100,10514400,2532800
2018-01-29,202561600,10182700,,8638500,1314800,1939000,5796100,12350600,66645400,4565700,3901700,114038000,2032500,50401000,3472100,3324900,59126500,11220000,611000,3021300,6041600,14611100,9496800,3214500,3510200,936100,8636800,23003773,1223400,4167600,2031100,3181500,23625900,8372900,6350700,4829500,1487600,2910804,6847800,1413200,4901300,6486500,1109800,1975900,2136400,1584900,630800,1883800,6524908,55114000,17668900,1153300,15469060,19411600,2263400,8177500,31494000,3881100,8567500,3632900,4062456,3678782,1870400,46304000,2629800,8013400,11679900,1420500,11662600,2982800,5324500,2881100,3787300,40060000,3082800,6091900,3917400,10451700,20453200,515800,2758335,5387900,4153100,9198191,7493500,31569900,29455000,10057200,4742300,175297000,5067300,1389800,12074000,2448400,455116000,2185879,12234900,3014800,3854700,36779014,11685800,578500,1462600,3952500,2563500,9745300,1302100,1095200,665200,5530356,18899900,8052400,2216400,7877900,5900400,1678600,1065600,1558100,40884590,7882800,1042800,2553600,71206500,2161600,6389300,2564700,2753800,6257900,2787100,1400900,1828700,17052600,2085500,16105200,25065600,3613300,9315700,2662400
2018-01-30,184192800,11851400,,6497600,1700000,3343300,4216000,14603700,91236400,3990800,2440000,117438000,1790600,46002000,3466500,4983100,60555800,9557500,851100,5040100,8690200,15816900,8694800,2954600,3496000,4717400,6027700,22832306,1506100,6381000,2285000,3737700,28993900,16517900,8084000,4798300,1712700,4386228,8393900,1471000,3969200,8493600,1019000,4527900,2311600,3589100,700200,2478800,6458874,52068200,16342600,2455400,14242064,14001200,3177000,8459700,37338000,3970400,10719500,5979600,4304224,5127806,2831300,32814600,3218700,8376100,14279100,1541200,12404800,2007700,5388400,2032900,6360800,37946000,4227100,9613000,4091200,7110700,20858600,503400,2885470,6365200,4841700,13666654,7321200,38635100,38861900,7823200,4204300,124829000,6350500,1297400,11847500,4430800,570832000,2155332,16863500,4415200,4945200,48483684,9662900,992600,2621700,4069700,2049800,8059500,1379100,603700,621600,5675590,14341200,8368000,1974900,11371000,8254700,2145000,1219600,2171800,39565357,9984400,1921700,2017700,70765500,1611800,6492900,11565500,4124900,8154400,4338800,1782800,2184600,15401500,2444700,16158900,27541500,3167300,12408000,3808700
