Date,360ONE,AARTIIND,ABB,ABBOTINDIA,ADANIENT,ADANIGREEN,ADANIPORTS,ALKEM,ALKYLAMINE,AMBUJACEM,ANGELONE,APLAPOLLO,APOLLOHOSP,ASHOKLEY,ASIANPAINT,ATUL,AUBANK,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BALKRISIND,BANDHANBNK,BANKBARODA,BEL,BERGEPAINT,BHARATFORG,BHARTIARTL,BHEL,BPCL,BRIGADE,BRITANNIA,BSE,CAMS,CANBK,CDSL,CGPOWER,CHOLAFIN,CIPLA,COALINDIA,COFORGE,COLPAL,CUMMINSIND,DABUR,DEEPAKNTR,DIVISLAB,DLF,DMART,DRREDDY,EICHERMOT,FEDERALBNK,FORTIS,GAIL,GODREJCP,GODREJPROP,GRASIM,HAL,HAVELLS,HCLTECH,HDFCAMC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,ICICIGI,IDFCFIRSTB,INDIAMART,INDUSINDBK,INFY,IPCALAB,IRB,IRCTC,ITC,JKCEMENT,JSWSTEEL,JUBLFOOD,KANSAINER,KEC,KOTAKBANK,KPITTECH,LICHSGFIN,LICI,LODHA,LT,LTIM,LUPIN,M&M,MANAPPURAM,MARICO,MARUTI,MAXHEALTH,MCX,MOTHERSON,MPHASIS,MRF,MUTHOOTFIN,NAUKRI,NAVINFLUOR,NESTLEIND,NHPC,NTPC,OBEROIRLTY,OFSS,ONGC,PAGEIND,PERSISTENT,PHOENIXLTD,PIDILITIND,PNB,POWERGRID,PRESTIGE,RBLBANK,RELIANCE,SAIL,SBILIFE,SBIN,SHREECEM,SHRIRAMFIN,SIEMENS,SJVN,SRF,STARHEALTH,SUNDARMFIN,SUNPHARMA,SUZLON,TATACOMM,TATACONSUM,TATAELXSI,TATAMOTORS,TATAPOWER,TATASTEEL,TCS,TECHM,THERMAX,TIINDIA,TITAN,TORNTPHARM,TORNTPOWER,TRENT,TVSMOTOR,UBL,ULTRACEMCO,UNIONBANK,VBL,VEDL,VOLTAS,WIPRO,ZOMATO,ZYDUSLIFE
2018-01-01,,269.7618103027344,1222.67822265625,4969.509765625,89.08937072753906,,381.5813293457031,2046.47998046875,250.14683532714844,235.87315368652344,,191.4859619140625,1172.8984375,50.76264572143555,1072.1768798828125,2668.04443359375,329.14752197265625,653.5994262695312,562.4501342773438,2638.269287109375,515.4166870117188,168.0667724609375,1106.7862548828125,,143.17230224609375,51.5994987487793,215.10044860839844,682.5933227539062,453.5730895996094,88.61251831054688,146.43858337402344,201.1075134277344,2096.231689453125,85.56411743164062,,63.071083068847656,162.1787567138672,91.67185974121094,256.1435241699219,576.7306518554688,131.34983825683594,119.01631927490234,920.6458740234376,782.0361938476562,320.3021850585937,221.30178833007807,1039.0670166015625,240.20343017578125,1170.5,455.4854431152344,2795.70361328125,101.37545776367188,156.41458129882812,87.85629272460938,609.6405639648438,703.8499755859375,1087.6976318359375,,522.8154296875,340.8336181640625,,432.68896484375,382.067626953125,2813.27099609375,257.2323303222656,1184.235107421875,298.0550231933594,756.5105590820312,53.558349609375,,1547.8099365234375,415.2442321777344,292.04498291015625,10.698152542114258,,183.64540100097656,1057.980712890625,242.6212310791016,174.24000549316406,352.65777587890625,360.1421813964844,198.9491271972656,,489.13714599609375,,,1107.631103515625,,843.7534790039062,692.0093994140625,103.86408996582033,283.79864501953125,8962.4921875,,165.3347930908203,62.354042053222656,606.1866455078125,71536.859375,401.7595520019531,268.3647155761719,788.2042236328125,354.1836242675781,21.3990421295166,106.09725189208984,465.9299621582031,2765.214111328125,120.28311920166016,23035.8046875,324.4220886230469,311.4384765625,432.8035278320313,157.50302124023438,73.26818084716797,306.1883850097656,493.0829772949219,401.8648071289063,77.457763671875,686.7575073242188,278.3490295410156,17377.361328125,255.17970275878903,687.8890991210938,21.5338077545166,380.4980773925781,,1407.1201171875,531.6732788085938,14.507780075073242,379.8487243652344,292.9132385253906,883.2142944335938,,87.0997543334961,55.28141403198242,1083.771728515625,380.7503967285156,1163.2333984375,261.8433532714844,828.7692260742188,624.9669799804688,231.27749633789065,327.13885498046875,732.516357421875,1031.373046875,4106.4296875,125.1431655883789,37.87591552734375,116.5333023071289,620.1547241210938,108.32608032226562,,402.0826721191406
2018-01-02,,267.8467712402344,1223.1585693359375,4920.517578125,87.93585968017578,,379.4330749511719,2022.714599609375,243.0843963623047,235.96112060546875,,191.4424591064453,1162.559814453125,52.773475646972656,1071.3331298828125,2633.531494140625,328.4275207519531,641.6063842773438,556.4824829101562,2642.6806640625,508.3659057617187,167.96934509277344,1086.2327880859375,,140.02516174316406,51.65636444091797,211.38079833984372,687.361083984375,443.8211059570313,91.45295715332033,143.90484619140625,197.2252349853516,2059.865966796875,86.39591979980469,,61.55856704711914,160.3114776611328,89.44921875,251.97439575195312,573.2410278320312,133.0246124267578,116.96841430664062,919.1011962890624,789.9588012695312,320.3480529785156,223.8007354736328,1021.9076538085938,237.58334350585932,1160.0,456.4422607421875,2681.324462890625,100.3495864868164,153.78115844726562,87.09867858886719,606.7353515625,703.6500244140625,1083.5137939453125,,517.912109375,346.30279541015625,,436.853759765625,387.80377197265625,2809.33154296875,257.94384765625,1179.03857421875,297.4787292480469,760.8377075195312,52.67954254150391,,1566.968505859375,413.6973876953125,286.08038330078125,10.460570335388184,,182.5601806640625,1058.4556884765625,241.4802398681641,175.78469848632812,350.72869873046875,358.4971923828125,199.5957489013672,,486.5863952636719,,,1098.0103759765625,,836.015625,699.6761474609375,102.10874938964844,288.223388671875,8871.6337890625,,163.25027465820312,62.3046989440918,603.230712890625,70393.953125,392.02093505859375,261.4162902832031,772.0017700195312,354.1993713378906,21.166444778442383,107.50946044921876,466.1238708496094,2719.9970703125,123.09715270996094,22303.51171875,323.2142944335937,312.2003173828125,427.6098937988281,154.39471435546875,73.469482421875,311.8630065917969,494.6782531738281,402.4831848144531,76.74752807617188,672.6198120117188,274.85943603515625,17446.462890625,253.4304962158203,699.3889770507812,21.25005340576172,376.30084228515625,,1407.234130859375,529.9134521484375,14.553690910339355,375.8146667480469,291.2749938964844,895.8571166992188,,89.3859634399414,55.82488632202149,1077.8726806640625,388.9617614746094,1160.26025390625,260.24200439453125,821.6720581054688,627.0570068359375,225.5148162841797,322.7967529296875,740.54443359375,1002.5805053710938,4102.81201171875,122.59539794921876,40.59206008911133,117.3568878173828,618.6735229492188,109.06182861328124,,398.1320495605469
2018-01-03,,272.3270568847656,1235.606689453125,4913.91845703125,94.53507232666016,,389.2196044921875,2034.619873046875,248.5331268310547,239.87696838378903,,204.1027984619141,1147.49072265625,53.26548385620117,1070.5364990234375,2655.0048828125,332.5738220214844,636.0159301757812,557.4273681640625,2599.608642578125,508.2014465332031,167.05874633789062,1100.861083984375,,139.93650817871094,51.47152328491211,210.5408477783203,692.1287231445312,445.2388305664063,91.7789077758789,142.49400329589844,197.6102752685547,2070.8818359375,86.06503295898438,,61.68970489501953,159.67385864257812,90.09130096435548,254.4913787841797,572.2978515625,133.91131591796875,117.5873565673828,917.0972900390624,797.7102661132812,325.4875183105469,224.37744140625,1039.3980712890625,241.7005920410156,1184.550048828125,443.1423034667969,2694.81103515625,100.44284057617188,162.2279510498047,86.34989166259766,609.7333374023438,710.75,1071.7711181640625,,523.9468383789062,348.0483093261719,,432.2574157714844,378.1454162597656,2817.848388671875,262.3077392578125,1189.387939453125,302.569580078125,761.0753784179688,52.87483215332031,,1553.91015625,410.3226013183594,284.6927185058594,10.787246704101562,,182.8402099609375,1058.265625,245.26837158203125,181.49266052246097,349.857421875,350.41363525390625,198.97897338867188,,490.13134765625,,,1120.4581298828125,,839.6456298828125,701.5347900390625,102.23719024658205,283.9313659667969,8744.0,,163.6276397705078,61.49876022338867,591.242431640625,70322.046875,390.6968994140625,264.010986328125,775.6235961914062,354.0440368652344,21.7313232421875,106.3977279663086,465.34771728515625,2830.69384765625,120.9709930419922,22549.283203125,317.2207946777344,303.869384765625,439.5119934082031,154.58030700683594,73.79886627197266,311.3779602050781,497.8204345703125,404.0955505371094,78.37689208984375,677.9214477539062,274.4969482421875,17542.615234375,251.4821929931641,698.972412109375,21.722976684570312,371.639404296875,,1404.8433837890625,527.0424194335938,14.461870193481444,374.6380310058594,291.3218688964844,910.6986694335938,,90.37215423583984,56.25737380981445,1080.9244384765625,393.1242065429687,1187.4984130859375,265.7739562988281,832.51220703125,619.6184692382812,225.83946228027344,324.1783447265625,735.7658081054688,1048.1524658203125,4150.716796875,123.63177490234376,40.944580078125,119.05768585205078,615.0421142578125,106.06751251220705,,398.3179321289063
2018-01-04,,271.73602294921875,1252.0733642578125,4909.0380859375,98.34436798095705,,391.3201599121094,2038.2974853515625,249.67222595214844,240.62496948242188,,222.3561553955078,1131.4951171875,54.31367492675781,1098.802001953125,2749.96337890625,335.1808166503906,638.643798828125,556.8803100585938,2618.37744140625,504.5241088867187,170.827880859375,1115.90576171875,,145.2999267578125,51.20137023925781,212.5006866455078,686.3224487304688,449.3630065917969,93.82775115966795,141.51507568359375,197.4177703857422,2046.74853515625,85.53195190429688,,63.394569396972656,159.0135040283203,90.78279876708984,254.5205841064453,581.6820678710938,136.8422088623047,118.89800262451172,913.7571411132812,833.3411254882812,325.80877685546875,225.38661193847656,1046.157958984375,240.95199584960932,1203.0999755859375,456.7454223632813,2672.028564453125,101.3288345336914,163.02294921875,87.51272583007812,611.61865234375,714.75,1112.7518310546875,,530.7360229492188,346.4191589355469,,433.9489440917969,391.2356262207031,2805.616943359375,265.4383544921875,1191.061279296875,302.2814636230469,767.8748779296875,53.265411376953125,,1569.49462890625,407.9521789550781,282.4773254394531,10.81694507598877,,183.12030029296875,1067.7177734375,252.9814910888672,180.3353729248047,350.91534423828125,350.3666687011719,199.0386505126953,,490.7799072265625,,,1155.9530029296875,,838.8814697265625,702.5569458007812,102.57969665527344,286.14373779296875,8715.8173828125,,166.26025390625,61.73725891113281,587.793701171875,70368.0078125,394.6264953613281,267.6940612792969,785.8216552734375,354.4560852050781,22.429113388061523,106.42777252197266,472.9644775390625,2761.13427734375,124.75431060791016,22471.853515625,322.9179992675781,285.36444091796875,435.49652099609375,163.7196502685547,73.3230972290039,328.4504089355469,500.2374877929687,406.5250854492187,81.8027572631836,688.8191528320312,279.6179504394531,17425.142578125,254.38302612304688,709.4724731445312,24.27676773071289,374.1539001464844,,1408.2205810546875,538.2954711914062,14.507780075073242,378.0278015136719,292.3047790527344,914.63818359375,,89.29630279541016,58.19397735595703,1088.4827880859375,395.4702758789063,1186.8270263671875,272.3248596191406,868.0955200195312,626.5177612304688,227.746826171875,328.0270690917969,732.6119995117188,1049.416748046875,4192.73583984375,127.38865661621094,39.71653747558594,121.42095184326172,617.0488891601562,106.6492691040039,,401.1066589355469
2018-01-05,,276.7599792480469,1253.645751953125,4865.9208984375,103.62909698486328,,404.6394348144531,2041.2850341796875,257.1143798828125,241.0209045410156,,221.3796539306641,1166.802490234375,54.52760314941406,1111.1771240234375,2723.30322265625,347.3218078613281,641.367431640625,560.2122802734375,2630.7294921875,510.9669494628906,176.72015380859375,1120.9051513671875,,143.43824768066406,51.8411979675293,213.0606384277344,697.5573120117188,463.9694213867187,95.3178253173828,140.42092895507812,197.8027801513672,2054.57958984375,86.94277954101562,,63.79673385620117,161.8143768310547,91.82003021240234,254.24850463867188,580.173095703125,137.31021118164062,121.8743133544922,919.0594482421876,819.85107421875,328.74560546875,233.3640289306641,1047.1978759765625,243.24459838867188,1243.4000244140625,468.60546875,2734.3388671875,104.54637145996094,162.2776336669922,87.10748291015625,611.989501953125,725.25,1154.492919921875,,533.75341796875,349.11492919921875,,434.8122253417969,399.0799560546875,2809.93115234375,262.212890625,1194.848876953125,300.55242919921875,781.75927734375,56.87828063964844,,1618.67822265625,406.5862121582031,284.1327819824219,11.12991714477539,,184.06546020507807,1077.882568359375,260.2382202148437,186.7690887451172,352.8134155273437,351.07159423828125,199.56590270996097,,493.9359130859375,,,1155.2503662109375,,859.897705078125,702.88232421875,102.7509536743164,289.3295288085937,8760.017578125,,165.17308044433594,62.66655731201172,586.274658203125,72033.859375,402.912841796875,274.9244689941406,784.4872436523438,353.8930969238281,22.29620742797852,106.6681900024414,475.1476135253906,2788.9443359375,124.0977020263672,22343.1640625,327.9772033691406,282.6611633300781,437.7086791992187,163.3021240234375,73.65247344970703,325.0068054199219,521.7978515625,407.8281555175781,81.38496398925781,689.1629028320312,277.6692199707031,18380.947265625,256.3227844238281,714.8336181640625,24.05606842041016,378.0705871582031,,1418.2015380859375,536.0262451171875,14.278226852416992,376.6270751953125,292.9600830078125,921.5093383789062,,89.25147247314453,58.99389266967773,1101.6324462890625,397.6650390625,1186.15576171875,285.7663879394531,884.4288330078125,638.586181640625,227.62515258789065,345.6422119140625,732.9942626953125,1119.93896484375,4241.267578125,125.48863220214844,40.707645416259766,121.58206176757812,617.6699829101562,105.93061065673828,,409.1938781738281
2018-01-08,,271.84234619140625,1255.8297119140625,4827.41357421875,105.39962768554688,,403.7801513671875,2039.170654296875,283.4466857910156,241.6369171142578,,220.5385284423828,1151.5870361328125,54.95542907714844,1108.1302490234375,2730.719482421875,353.5536193847656,647.2922973632812,562.4004516601562,2627.44091796875,520.3399047851562,178.89691162109375,1113.5911865234375,,143.30526733398438,52.338863372802734,210.82083129882807,700.908935546875,443.64935302734375,94.94530487060548,143.15621948242188,201.17166137695312,2076.54443359375,87.69644927978516,,63.77925491333008,161.13124084472656,95.17869567871094,256.93072509765625,580.0787353515625,141.5957794189453,128.16371154785156,933.2539672851562,820.15087890625,331.6366577148437,264.6010437011719,1055.2811279296875,243.5252990722656,1226.800048828125,469.2117309570313,2730.635009765625,107.7638931274414,162.4763946533203,87.63605499267578,614.8639526367188,736.9500122070312,1143.8438720703125,,530.9717407226562,349.2895202636719,,434.1122741699219,413.8861389160156,2841.52294921875,261.9756774902344,1205.2862548828125,301.75311279296875,806.3900146484375,61.858184814453125,,1639.362060546875,416.2486572265625,285.49609375,11.196165084838867,,185.95584106445312,1088.14208984375,261.0597229003906,189.38279724121097,351.63104248046875,356.288330078125,200.17274475097656,,504.8739013671875,,,1175.7650146484375,,882.0123901367188,706.1812133789062,106.09036254882812,285.9668273925781,8774.0380859375,,170.8067626953125,63.11886596679688,587.5885009765625,71742.0078125,401.8022766113281,271.09552001953125,800.2131958007812,357.6947631835937,22.03038024902344,106.75830078125,478.7861633300781,2794.826171875,123.4410629272461,22363.767578125,327.5213623046875,287.8465270996094,438.6463623046875,163.0237579345703,73.39627838134766,322.436279296875,527.3570556640625,410.1693115234375,82.55477142333984,691.3228149414062,277.17071533203125,18778.181640625,261.4922790527344,718.5836181640625,23.89842796325684,377.7998046875,,1436.2274169921875,547.9275512695312,14.370047569274902,379.90478515625,297.31304931640625,924.3953247070312,,89.52043914794922,58.84462738037109,1111.95556640625,405.8764343261719,1198.144287109375,286.0090637207031,900.3731689453125,644.4740600585938,230.30349731445312,339.6718444824219,733.0899658203125,1124.0244140625,4269.7294921875,125.79090118408205,40.39845657348633,121.8327407836914,610.3117065429688,106.4781723022461,,420.1626892089844
2018-01-09,,269.6199035644531,1239.843505859375,4787.8671875,105.10452270507812,,402.0615539550781,2042.9403076171875,273.46051025390625,243.88075256347656,,217.3819274902344,1143.44287109375,55.83249282836914,1118.4896240234375,2810.748291015625,347.2969665527344,643.2787475585938,562.2512817382812,2601.573486328125,513.8768920898438,177.20713806152344,1089.288330078125,,145.8318328857422,51.91229248046875,214.4205017089844,691.6566162109375,438.0215759277344,94.15370178222656,142.8395233154297,200.72250366210932,2053.628173828125,86.90142059326172,,63.77051544189453,160.40257263183594,93.20301818847656,259.06866455078125,580.597412109375,149.7727813720703,125.58788299560548,935.675537109375,800.2369995117188,329.8011169433594,262.9189758300781,1029.849365234375,252.5083465576172,1234.0999755859375,465.64990234375,2674.47900390625,107.3908462524414,164.56324768066406,88.26151275634766,610.8768310546875,791.5499877929688,1176.64697265625,,520.7407836914062,346.71002197265625,,434.8355407714844,427.0253601074219,2813.533203125,257.5643920898437,1199.03271484375,300.2642822265625,747.0958862304688,61.32113265991211,,1644.2711181640625,418.37799072265625,282.16082763671875,11.246424674987791,,189.4215087890625,1091.4195556640625,259.2341003417969,188.50010681152344,352.5956115722656,363.85498046875,200.89891052246097,,499.8155822753906,,,1170.9329833984375,,881.9647216796875,708.551025390625,104.33505249023438,286.58624267578125,8713.310546875,,168.72218322753906,63.02840805053711,584.9198608398438,72151.59375,402.8701171875,266.8681030273437,794.590087890625,350.4022216796875,21.79778289794922,106.1873779296875,491.6423645019531,2754.538330078125,123.1909408569336,22068.162109375,338.46002197265625,296.15283203125,439.9447937011719,162.04949951171875,73.56098937988281,323.7458190917969,521.0243530273438,415.6467895507813,81.84453582763672,704.1841430664062,275.8111267089844,18832.220703125,262.5140686035156,723.1668701171875,23.457033157348636,378.2060241699219,,1460.89453125,543.2042846679688,15.058709144592283,381.3615417480469,295.1599426269531,922.4713134765624,,88.39974975585938,59.116355895996094,1109.7435302734375,404.0222473144531,1270.7474365234375,286.8824768066406,907.0330200195312,633.7542114257812,235.45741271972656,335.4283447265625,736.3870849609375,1109.0445556640625,4271.22607421875,124.4522476196289,39.73387145996094,120.91967010498048,619.8202514648438,108.54852294921876,,412.9585571289063
2018-01-10,,265.0332336425781,1236.4366455078125,4757.6318359375,106.6604461669922,,404.3052673339844,2136.256591796875,270.0052185058594,242.95684814453125,,214.48146057128903,1143.2481689453125,54.74151611328125,1103.8177490234375,2906.869873046875,347.3714294433594,642.8486938476562,559.7646484375,2572.6181640625,518.1773071289062,175.52223205566406,1079.9371337890625,,144.05880737304688,51.17293548583984,209.6609649658203,685.94482421875,435.1001586914063,96.66819763183594,142.3212432861328,200.30538940429688,2068.13916015625,86.63488006591797,,62.01319122314453,164.59251403808594,93.4993667602539,252.84906005859372,584.5115356445312,151.86630249023438,130.91256713867188,933.7131958007812,792.6140747070312,328.3785705566406,255.22987365722656,1020.3951416015624,252.0404815673828,1249.300048828125,459.5872802734375,2627.76904296875,105.52560424804688,161.43295288085938,87.40702056884766,604.819091796875,826.3499755859375,1174.74560546875,,518.3363647460938,355.2435607910156,,434.9521789550781,420.89697265625,2804.115966796875,255.00296020507807,1202.996337890625,299.6879272460937,739.8682861328125,61.76054000854492,,1652.897216796875,422.7572021484375,282.20953369140625,11.303534507751465,,188.6163482666016,1087.6197509765625,258.1387634277344,188.35301208496097,352.7200012207031,357.9332275390625,199.40673828125,,497.3513793945313,,,1163.025390625,,884.4007568359375,706.1348266601562,102.62249755859376,284.63934326171875,8706.1611328125,,168.91986083984375,62.280029296875,582.9902954101562,71614.5703125,389.0737609863281,274.32183837890625,782.8193359375,353.4380798339844,21.56518173217773,104.53479766845705,512.3093872070312,2785.986572265625,123.7537612915039,20944.099609375,339.0297241210937,289.7388000488281,438.45404052734375,158.3380889892578,73.14010620117188,324.0367736816406,511.9360961914063,416.2652282714844,82.26232147216797,698.6370239257812,272.91070556640625,18901.71484375,263.4319152832031,722.0835571289062,23.488561630249023,375.19830322265625,,1471.7857666015625,541.907470703125,15.058709144592283,377.3274536132813,294.0365905761719,954.5823974609376,,88.08595275878906,59.15846633911133,1149.7254638671875,410.2659301757813,1268.10986328125,285.4267883300781,892.1094970703125,629.8213500976562,238.3387756347656,341.5468139648437,733.4722290039062,1099.5606689453125,4248.4072265625,122.42266845703124,39.21087646484375,119.88127899169922,601.3765869140625,111.79949951171876,,412.4473571777344
2018-01-11,,266.6882629394531,1222.6343994140625,4878.8017578125,108.21636199951172,,406.2625732421875,2102.83740234375,268.1257019042969,239.1290435791016,,210.82211303710932,1143.49169921875,54.3564682006836,1114.645751953125,2877.54345703125,352.3370666503906,644.6165771484375,555.7365112304688,2561.388916015625,512.8804931640625,173.3941650390625,1071.9747314453125,,144.7680206298828,50.90277862548828,214.10052490234372,686.7945556640625,442.2745666503906,96.38882446289062,141.77420043945312,202.3267364501953,2088.84326171875,86.44186401367188,,62.16182327270508,170.69525146484375,95.91957092285156,254.384521484375,577.5322265625,151.76779174804688,130.6394500732422,939.3912353515624,802.2926635742188,330.3059387207031,259.6511535644531,1041.430908203125,253.11656188964844,1245.5,459.5019836425781,2660.23974609375,106.31834411621094,147.96778869628906,87.30128479003906,608.867919921875,844.5999755859375,1182.82763671875,,517.4876708984375,355.6508178710937,,436.90045166015625,438.0074462890625,2780.666259765625,254.0068359375,1214.314453125,297.28662109375,751.5179443359375,66.93573760986328,,1620.6800537109375,432.2188415527344,278.6794738769531,11.319527626037598,,188.8963928222656,1079.212646484375,257.9105834960937,188.63742065429688,349.2662353515625,354.6904296875,202.47068786621097,,491.8174743652344,,,1162.849853515625,,887.6487426757812,712.4541625976562,104.76317596435548,279.9049072265625,8672.685546875,,168.0123748779297,63.43960571289063,588.0811157226562,71447.015625,385.3577575683594,269.1421813964844,782.9622192382812,354.6836242675781,21.432268142700195,104.2643585205078,538.7496948242188,2820.052734375,123.7537612915039,21011.4296875,342.5163879394531,298.1679992675781,432.587158203125,160.28659057617188,72.40814971923828,334.6585693359375,515.9000854492188,414.2332763671875,82.30409240722656,690.9791259765625,273.9077453613281,18934.95703125,260.6263732910156,719.222412109375,23.64620018005371,374.6954040527344,,1473.6455078125,544.5471801757812,15.104619026184082,378.223876953125,293.2876892089844,951.0551147460938,,89.25147247314453,59.01302337646485,1143.1298828125,417.5313720703125,1244.947998046875,278.92431640625,881.70654296875,621.1016845703125,236.8372344970703,344.556640625,721.9078979492188,1145.9591064453125,4251.205078125,119.87488555908205,39.179080963134766,119.5589828491211,598.0796508789062,109.88314056396484,,413.5628051757813
2018-01-12,,266.29815673828125,1290.9468994140625,4927.3876953125,107.27743530273438,,404.162109375,2076.727783203125,264.34771728515625,237.06109619140625,,215.3370819091797,1134.664794921875,55.04099655151367,1115.349365234375,2905.17333984375,350.1770324707031,637.4494018554688,552.1061401367188,2546.911376953125,504.00091552734375,172.39590454101562,1072.57666015625,,144.50205993652344,50.61840057373047,213.54058837890625,689.7684326171875,437.80670166015625,95.6437759399414,141.0543975830078,202.39089965820312,2082.981201171875,88.41336822509766,,61.89078903198242,168.60031127929688,96.70985412597656,254.77328491210932,577.2964477539062,152.2111053466797,127.66313934326172,951.5399169921876,806.7464599609375,328.69970703125,258.9783630371094,1034.10400390625,251.2919158935547,1234.5999755859375,463.7268981933594,2679.4169921875,107.2975845336914,143.744384765625,88.29676818847656,612.7621459960938,834.75,1161.576416015625,,517.7706298828125,359.1416931152344,,435.2088928222656,447.0774536132813,2766.934814453125,255.0503692626953,1210.21875,305.1630249023437,751.5654907226562,65.91046142578125,,1625.398193359375,433.2834167480469,273.1287841796875,11.417757987976074,,187.3210906982422,1078.2149658203125,261.7899475097656,187.31829833984372,347.8660888671875,354.0794982910156,203.6047515869141,,490.5205078125,,,1167.7698974609375,,878.000244140625,713.2440185546875,102.62249755859376,276.7191162109375,8783.51171875,,169.24334716796875,63.47249603271485,598.262939453125,71110.1015625,385.6994323730469,272.0380859375,803.1201782226562,350.8526306152344,21.06675910949707,103.66340637207033,516.8696899414062,2805.025634765625,125.53594207763672,20786.353515625,355.32373046875,292.5649108886719,437.6605529785156,161.63197326660156,71.85919952392578,327.8198547363281,513.1446533203125,419.2027282714844,82.429443359375,688.9664916992188,273.9530639648437,18291.58203125,261.4922790527344,734.1668701171875,23.740785598754883,388.418701171875,,1511.70849609375,540.37939453125,14.875065803527832,379.4005126953125,304.94244384765625,951.2843017578124,,88.80320739746094,58.95944213867188,1137.3333740234375,416.8123474121094,1238.8577880859375,278.8757629394531,878.6926879882812,620.5172729492188,239.06927490234372,344.7540588378906,717.177001953125,1128.2557373046875,4250.6259765625,118.8385238647461,39.20219802856445,121.58206176757812,605.8202514648438,109.09605407714844,,416.9556884765625
