top_n,max_per_sector,exit_rank_buffer,dma_exit,regime_dma,min_price,min_avg_value_cr,exit_cutoff,cagr_pct,sharpe,sortino,max_dd_pct,calmar,win_rate,trades,composite
10,2,18,200,200,50,0,28,25.45,1.051,1.438,-19.98,1.274,48.4,976,1.3393
15,2,13,200,150,50,5,28,25.58,1.117,1.592,-21.34,1.199,51.6,2180,1.3391
12,2,8,250,150,0,5,20,25.53,1.089,1.595,-20.78,1.229,53.8,1735,1.3384
12,3,8,100,200,0,0,20,26.66,1.094,1.506,-21.82,1.222,48.4,2500,1.3371
15,4,23,100,200,50,0,38,25.69,1.123,1.544,-21.59,1.19,46.2,2885,1.3362
7,4,23,100,150,50,0,30,26.75,1.101,1.643,-22.05,1.213,48.4,1241,1.3356
10,2,8,150,150,100,5,18,25.94,1.118,1.652,-21.71,1.195,52.7,1439,1.3356
15,2,23,250,150,0,5,38,25.26,1.088,1.574,-20.58,1.227,51.6,1913,1.3355
12,3,23,100,200,50,0,35,25.64,1.09,1.472,-20.94,1.224,49.5,2309,1.3346
10,4,8,100,200,0,0,18,27.26,1.102,1.524,-22.5,1.211,45.1,1876,1.3345
10,2,18,200,150,50,5,28,26.7,1.114,1.622,-22.29,1.198,53.8,1165,1.3344
10,3,13,150,200,100,0,23,22.85,0.967,1.341,-16.57,1.379,48.4,1122,1.3336
10,3,18,100,150,50,0,28,25.27,1.11,1.638,-21.05,1.2,50.5,1841,1.3328
10,2,23,100,200,50,0,33,25.96,1.07,1.446,-20.85,1.245,48.4,1811,1.3326
10,3,13,100,150,100,0,23,24.01,1.077,1.583,-19.42,1.237,52.7,1924,1.3322
10,2,23,100,150,50,5,33,27.21,1.135,1.661,-23.2,1.173,53.8,1813,1.3312
15,2,18,200,150,50,5,33,24.83,1.081,1.549,-20.17,1.231,51.6,1968,1.331
12,4,23,200,150,100,0,35,22.63,1.036,1.514,-17.63,1.283,50.5,1410,1.3292
10,4,18,100,150,50,0,28,24.88,1.085,1.596,-20.32,1.224,50.5,1861,1.3283
8,2,13,100,150,50,0,21,24.8,1.07,1.596,-19.98,1.241,50.5,1411,1.3281
12,3,13,150,150,100,5,25,25.13,1.102,1.627,-20.88,1.203,48.4,1607,1.3268
10,2,23,200,150,50,5,33,26.64,1.117,1.626,-22.43,1.188,53.8,1154,1.3265
12,3,8,100,150,100,0,20,23.39,1.074,1.53,-18.95,1.234,51.6,2540,1.3264
7,4,13,150,150,50,0,20,25.83,1.079,1.602,-21.05,1.227,50.5,860,1.3249
12,4,13,150,200,50,0,25,25.74,1.076,1.467,-20.91,1.231,49.5,1401,1.3249
15,4,13,150,200,50,0,28,25.42,1.108,1.503,-21.29,1.194,47.3,1758,1.3228
10,4,13,150,150,100,0,23,23.25,1.031,1.532,-18.15,1.281,48.4,1269,1.3214
7,3,13,200,150,100,0,20,21.73,0.92,1.368,-15.13,1.436,45.1,837,1.3208
15,4,23,200,150,0,5,38,25.95,1.103,1.626,-21.71,1.195,49.5,1768,1.3184
12,2,18,150,150,0,5,30,25.95,1.092,1.612,-21.5,1.207,53.8,1609,1.3179
8,4,23,200,150,100,0,31,23.98,1.037,1.52,-18.89,1.27,45.1,948,1.3169
12,4,18,250,200,100,0,30,22.64,0.985,1.381,-16.97,1.334,46.2,1123,1.3145
12,3,8,200,150,100,5,20,24.74,1.084,1.598,-20.39,1.213,48.4,1556,1.3144
12,2,8,100,150,0,5,20,25.86,1.097,1.596,-21.63,1.196,52.7,2745,1.3116
10,3,13,250,200,50,0,23,25.14,1.035,1.427,-19.87,1.265,47.3,988,1.3089
15,3,8,250,150,0,5,23,25.54,1.092,1.592,-21.31,1.198,52.7,2063,1.3084
8,4,23,150,200,50,0,31,25.99,1.069,1.497,-21.23,1.224,46.2,851,1.3082
12,4,8,250,200,100,0,20,22.77,0.983,1.364,-17.11,1.331,47.3,1220,1.3078
8,3,13,200,200,100,0,21,23.95,0.978,1.378,-17.92,1.337,42.9,808,1.3068
10,4,13,200,200,100,0,23,23.16,0.975,1.365,-17.28,1.341,45.1,1003,1.3067
15,4,13,200,200,50,0,28,25.77,1.123,1.528,-22.14,1.164,47.3,1496,1.3067
7,3,8,200,200,50,0,15,26.99,1.062,1.501,-21.96,1.229,49.5,721,1.3055
10,3,13,250,200,100,0,23,23.22,0.98,1.358,-17.42,1.333,47.3,977,1.3054
12,3,18,250,200,50,0,30,26.51,1.127,1.532,-22.91,1.157,49.5,1186,1.3041
10,2,8,100,200,50,0,18,26.31,1.081,1.464,-21.81,1.206,47.3,1994,1.304
10,4,8,100,150,50,0,18,25.65,1.121,1.661,-22.07,1.163,48.4,2003,1.3029
10,2,23,150,150,100,5,33,25.39,1.103,1.629,-21.52,1.18,48.4,1268,1.3013
15,3,23,100,200,100,0,38,24.07,1.094,1.494,-20.23,1.19,47.3,3035,1.3012
7,4,13,200,150,100,0,20,21.62,0.91,1.348,-15.13,1.429,46.2,841,1.3011
10,4,13,100,150,50,0,23,24.7,1.071,1.576,-20.35,1.214,50.5,1911,1.3005
12,3,18,200,150,100,5,30,24.45,1.071,1.579,-20.14,1.214,49.5,1440,1.3005
8,2,8,150,150,100,0,16,23.99,1.023,1.518,-18.91,1.269,50.5,1073,1.2987
10,4,13,100,200,0,0,23,26.61,1.068,1.477,-21.88,1.216,46.2,1829,1.2986
8,3,23,250,200,100,0,31,24.34,0.995,1.403,-18.66,1.304,42.9,776,1.2975
12,3,18,100,200,50,0,30,25.52,1.083,1.464,-21.31,1.198,49.5,2304,1.2975
10,3,13,200,200,50,0,23,24.86,1.017,1.395,-19.49,1.276,48.4,1001,1.297
7,4,23,150,200,50,0,30,26.18,1.032,1.465,-20.87,1.254,48.4,725,1.2951
12,4,8,250,150,100,5,20,25.09,1.104,1.625,-21.41,1.172,49.5,1506,1.2943
15,4,13,200,150,0,5,28,26.14,1.107,1.628,-22.4,1.167,51.6,1846,1.2922
12,4,13,100,200,0,0,25,26.12,1.072,1.485,-21.68,1.205,48.4,2325,1.2911
8,4,18,200,150,100,0,26,23.76,1.026,1.504,-18.89,1.258,45.1,953,1.2906
7,4,13,150,150,100,0,20,21.46,0.898,1.331,-14.94,1.436,46.2,889,1.2892
10,3,23,150,200,100,0,33,22.83,0.972,1.35,-17.21,1.326,47.3,1092,1.2889
12,3,18,150,150,0,5,30,26.6,1.11,1.629,-22.94,1.16,52.7,1523,1.2877
10,3,8,100,150,50,0,18,25.86,1.136,1.688,-22.88,1.13,49.5,1980,1.2839
12,4,13,200,150,100,0,25,23.61,1.088,1.586,-20.02,1.179,51.6,1429,1.2832
10,2,18,200,150,0,5,28,25.91,1.07,1.573,-21.63,1.198,53.8,1183,1.2819
10,3,8,100,150,100,0,18,23.72,1.063,1.541,-19.68,1.205,51.6,2011,1.2814
7,2,18,200,150,100,0,25,21.89,0.925,1.365,-15.81,1.385,46.2,824,1.2813
10,2,23,250,150,50,5,33,26.69,1.125,1.639,-23.43,1.139,52.7,1168,1.2813
15,4,18,150,150,0,5,33,25.87,1.097,1.621,-22.16,1.167,50.5,2023,1.2809
10,4,18,200,150,50,0,28,25.34,1.111,1.644,-21.99,1.152,50.5,1146,1.2805
12,3,18,100,200,0,0,30,25.74,1.05,1.447,-21.12,1.219,48.4,2280,1.2801
12,4,8,150,200,50,0,20,25.32,1.056,1.445,-20.9,1.212,49.5,1468,1.28
12,3,8,200,150,0,5,20,26.46,1.119,1.617,-23.14,1.143,53.8,1550,1.2799
10,3,18,150,150,100,5,28,25.19,1.087,1.623,-21.39,1.177,47.3,1288,1.2792
10,4,13,250,200,50,0,23,25.12,1.027,1.406,-20.18,1.245,46.2,982,1.2786
15,2,13,100,200,50,0,28,25.5,1.116,1.494,-22.25,1.146,47.3,3343,1.2784
7,2,18,250,150,100,0,25,21.9,0.922,1.366,-15.81,1.385,46.2,815,1.2777
10,4,13,100,150,100,0,23,23.8,1.062,1.579,-19.79,1.203,49.5,1942,1.2776
12,4,23,250,200,100,0,35,21.96,0.946,1.325,-16.28,1.349,45.1,1117,1.2766
12,2,18,100,150,50,5,30,26.33,1.12,1.631,-23.11,1.14,53.8,2381,1.276
10,3,13,200,200,100,0,23,23.17,0.98,1.356,-17.8,1.302,47.3,1012,1.2755
12,4,13,250,200,50,0,25,25.17,1.051,1.424,-20.76,1.212,47.3,1203,1.2736
12,3,8,150,150,100,5,20,24.56,1.07,1.565,-20.64,1.19,48.4,1704,1.2728
10,2,18,100,150,100,5,28,24.96,1.074,1.585,-21.08,1.184,49.5,1976,1.2727
8,2,8,200,150,100,0,16,24.0,1.026,1.522,-19.34,1.241,51.6,1007,1.2726
7,3,8,150,200,50,0,15,26.48,1.042,1.484,-21.7,1.22,50.5,765,1.272
10,2,18,100,150,50,5,28,26.82,1.112,1.625,-23.46,1.143,53.8,1827,1.2709
12,3,23,200,150,100,5,35,24.4,1.069,1.574,-20.53,1.188,49.5,1427,1.2703
10,2,23,250,200,50,0,33,25.62,1.058,1.436,-21.33,1.201,46.2,954,1.2702
7,2,13,200,200,100,5,20,24.66,0.948,1.346,-18.42,1.339,44.0,744,1.27
7,3,18,200,150,100,0,25,21.67,0.919,1.363,-15.69,1.381,46.2,821,1.2695
12,3,8,200,150,50,5,20,27.1,1.143,1.666,-24.44,1.109,53.8,1502,1.267
10,3,13,250,150,100,5,23,25.11,1.092,1.626,-21.63,1.161,48.4,1205,1.2669
10,2,23,150,200,50,0,33,24.73,1.021,1.377,-19.93,1.241,48.4,1079,1.2666
15,2,23,250,150,50,5,38,24.69,1.08,1.551,-21.06,1.172,50.5,1887,1.2656
10,4,23,100,200,0,0,33,26.5,1.06,1.475,-22.19,1.194,46.2,1806,1.2653
12,3,13,100,200,50,0,25,25.49,1.078,1.457,-21.74,1.172,48.4,2378,1.2644
10,2,18,150,150,50,5,28,26.01,1.082,1.585,-22.27,1.168,52.7,1283,1.264
10,4,13,200,200,50,0,23,24.78,1.012,1.395,-19.84,1.249,46.2,994,1.2637
10,4,18,100,200,0,0,28,26.41,1.056,1.466,-22.09,1.196,46.2,1805,1.2631
7,4,8,150,200,50,0,15,26.38,1.038,1.476,-21.68,1.217,51.6,764,1.263
15,4,18,100,200,0,0,33,25.83,1.084,1.479,-22.2,1.164,48.4,2947,1.2613
7,2,18,100,150,50,0,25,26.35,1.086,1.647,-22.7,1.161,48.4,1214,1.2605
12,3,8,250,150,50,5,20,27.2,1.158,1.677,-24.99,1.089,53.8,1508,1.2603
15,2,23,200,150,50,5,38,24.68,1.078,1.547,-21.12,1.169,49.5,1910,1.26
8,4,23,250,200,50,0,31,25.68,1.058,1.498,-21.56,1.191,46.2,757,1.2598
10,3,8,200,150,100,5,18,25.11,1.073,1.59,-21.39,1.174,47.3,1264,1.2598
10,3,23,200,200,100,0,33,23.38,0.999,1.396,-18.55,1.26,46.2,984,1.2586
15,4,23,250,150,0,5,38,25.66,1.094,1.609,-22.37,1.147,50.5,1781,1.2551
7,3,23,250,150,100,0,30,21.6,0.911,1.356,-15.68,1.377,45.1,818,1.255
12,4,8,100,200,0,0,20,25.73,1.069,1.468,-21.93,1.174,47.3,2468,1.2547
10,4,23,200,200,100,0,33,23.32,0.987,1.395,-18.34,1.271,44.0,969,1.2543
8,4,23,200,200,50,0,31,25.76,1.063,1.503,-21.84,1.179,46.2,773,1.2534
15,2,18,200,200,0,5,33,24.87,1.009,1.37,-20.06,1.24,46.2,1775,1.2506
7,4,8,200,200,50,0,15,26.5,1.043,1.477,-22.1,1.199,49.5,721,1.2505
12,2,18,200,150,0,5,30,25.48,1.066,1.574,-21.72,1.173,52.7,1497,1.2501
10,4,18,250,200,100,0,28,23.29,0.983,1.389,-18.31,1.272,45.1,949,1.25
8,2,23,200,200,100,0,31,23.01,0.948,1.325,-17.46,1.318,44.0,816,1.2497
10,4,23,100,150,100,0,33,23.52,1.05,1.549,-19.75,1.191,50.5,1896,1.2496
8,3,18,250,200,100,0,26,23.97,0.98,1.384,-18.81,1.274,42.9,786,1.2495
7,3,13,250,150,100,0,20,21.48,0.907,1.357,-15.6,1.377,45.1,832,1.2491
12,3,23,250,200,50,0,35,26.14,1.108,1.5,-23.2,1.127,49.5,1181,1.2487
10,2,8,250,150,100,5,18,25.33,1.095,1.612,-22.22,1.14,50.5,1340,1.2485
10,4,8,200,200,100,0,18,22.9,0.972,1.363,-17.84,1.283,44.0,1052,1.2476
10,2,13,200,150,50,5,23,26.17,1.083,1.579,-22.72,1.152,53.8,1198,1.2472
12,3,13,200,150,100,5,25,24.04,1.048,1.552,-20.21,1.189,49.5,1469,1.246
10,3,13,100,150,100,5,23,25.8,1.112,1.653,-23.02,1.121,49.5,1921,1.2458
15,4,23,100,200,0,0,38,25.82,1.084,1.481,-22.48,1.149,48.4,2880,1.2455
8,2,8,250,150,100,0,16,23.75,1.012,1.51,-19.32,1.23,50.5,997,1.2443
8,2,8,150,150,100,5,16,26.09,1.077,1.596,-22.6,1.155,48.4,1063,1.2438
7,3,23,200,150,100,0,30,21.59,0.914,1.356,-15.88,1.359,45.1,824,1.243
12,4,18,100,200,0,0,30,25.66,1.052,1.457,-21.72,1.182,46.2,2257,1.243
7,2,23,100,200,50,0,30,25.91,1.015,1.441,-21.17,1.224,47.3,1142,1.242
10,2,18,100,200,50,0,28,25.48,1.048,1.43,-21.51,1.184,49.5,1838,1.2411
7,4,18,150,150,100,0,25,21.44,0.899,1.329,-15.55,1.379,47.3,868,1.2404
8,3,23,150,200,100,0,31,23.75,0.965,1.346,-18.49,1.284,45.1,871,1.2399
10,3,23,250,150,100,5,33,24.84,1.073,1.598,-21.49,1.155,48.4,1196,1.2399
15,2,8,200,150,0,5,23,25.03,1.066,1.533,-21.53,1.162,54.9,2801,1.2389
8,2,18,200,200,100,0,26,23.03,0.949,1.325,-17.63,1.306,44.0,816,1.2388
10,2,13,100,200,50,0,23,24.67,1.001,1.349,-19.93,1.238,46.2,1948,1.2385
12,3,8,250,150,100,5,20,24.48,1.074,1.576,-21.24,1.152,47.3,1548,1.2377
12,2,8,100,200,50,0,20,25.95,1.083,1.468,-22.73,1.142,46.2,2553,1.2369
12,3,23,200,150,50,5,35,26.96,1.148,1.686,-25.07,1.076,51.6,1375,1.2352
12,3,8,100,200,100,0,20,22.88,0.99,1.349,-18.34,1.247,48.4,2495,1.2348
12,4,13,250,150,100,5,25,24.81,1.088,1.621,-21.86,1.135,49.5,1457,1.2346
12,3,8,150,150,0,5,20,25.96,1.091,1.579,-22.94,1.132,53.8,1703,1.2345
12,3,13,100,150,100,0,25,23.08,1.058,1.508,-19.81,1.165,50.5,2418,1.2327
10,2,13,150,150,50,5,23,25.96,1.075,1.573,-22.64,1.146,53.8,1297,1.2326
15,2,8,100,200,100,0,23,23.15,1.035,1.401,-19.44,1.191,46.2,3835,1.2326
10,4,13,200,150,100,5,23,24.72,1.058,1.576,-21.22,1.165,46.2,1189,1.2325
12,3,13,100,200,100,0,25,22.84,0.987,1.352,-18.3,1.248,48.4,2361,1.2322
10,2,23,200,150,100,5,33,24.94,1.075,1.588,-21.77,1.146,48.4,1182,1.2312
15,2,23,100,150,0,5,38,24.72,1.052,1.53,-21.14,1.169,50.5,3294,1.2304
7,2,18,200,200,100,5,25,24.22,0.93,1.32,-18.31,1.323,42.9,732,1.2301
10,2,18,150,150,0,5,28,25.67,1.053,1.546,-21.99,1.167,53.8,1277,1.2288
15,3,13,250,150,0,5,28,25.37,1.085,1.582,-22.4,1.133,51.6,1905,1.2288
15,4,18,250,150,0,5,33,25.4,1.079,1.585,-22.35,1.136,49.5,1813,1.2264
7,4,23,200,200,50,0,30,25.72,1.021,1.457,-21.42,1.201,49.5,676,1.2262
12,2,18,250,150,0,5,30,25.2,1.055,1.555,-21.73,1.16,52.7,1501,1.2236
7,2,13,150,200,100,5,20,24.53,0.944,1.341,-18.94,1.295,44.0,827,1.2233
12,4,23,200,200,50,0,35,25.63,1.072,1.461,-22.48,1.14,48.4,1165,1.2222
12,4,13,250,200,100,0,25,22.65,0.981,1.366,-18.21,1.244,46.2,1139,1.2207
12,2,23,100,150,50,5,35,25.98,1.104,1.616,-23.54,1.104,53.8,2352,1.2188
12,2,18,100,150,0,5,30,25.7,1.067,1.573,-22.52,1.141,51.6,2415,1.2173
15,2,13,250,150,50,5,28,25.07,1.095,1.57,-22.57,1.111,52.7,2198,1.2157
12,3,23,150,150,100,5,35,24.34,1.065,1.563,-21.34,1.14,49.5,1605,1.2141
12,3,23,150,150,50,5,35,26.79,1.138,1.673,-25.11,1.067,51.6,1513,1.2138
12,2,13,250,150,0,5,25,25.16,1.061,1.55,-22.02,1.142,54.9,1549,1.2126
12,3,13,200,150,50,5,25,26.97,1.139,1.671,-25.32,1.065,52.7,1421,1.2126
15,3,18,100,200,50,0,33,25.31,1.095,1.477,-22.86,1.107,45.1,2946,1.2124
7,3,23,200,200,50,0,30,25.58,1.014,1.449,-21.4,1.195,49.5,675,1.2121
12,4,8,200,200,50,0,20,24.54,1.022,1.398,-20.69,1.186,48.4,1295,1.2121
12,2,8,100,200,100,0,20,23.34,1.019,1.383,-19.68,1.186,46.2,2639,1.208
12,4,23,100,150,100,0,35,23.01,1.048,1.535,-19.96,1.153,49.5,2346,1.2077
10,4,13,150,150,100,5,23,24.84,1.065,1.59,-21.92,1.133,47.3,1288,1.2072
12,3,13,250,150,100,5,25,23.84,1.041,1.544,-20.59,1.158,50.5,1466,1.2059
12,4,23,150,200,50,0,35,25.63,1.076,1.462,-22.87,1.121,47.3,1328,1.2056
7,2,23,200,200,100,5,30,23.98,0.92,1.307,-18.31,1.309,42.9,734,1.2049
10,2,8,250,150,50,5,18,26.04,1.086,1.57,-23.5,1.108,49.5,1289,1.2036
7,3,23,250,200,50,0,30,25.47,1.011,1.443,-21.41,1.19,48.4,659,1.2027
12,4,13,200,200,50,0,25,24.93,1.037,1.405,-21.5,1.16,48.4,1217,1.2026
10,2,18,150,200,50,0,28,24.23,0.992,1.335,-19.98,1.213,47.3,1071,1.2024
7,4,18,250,150,100,0,25,21.15,0.883,1.307,-15.56,1.359,46.2,819,1.2007
12,3,8,200,200,50,0,20,25.43,1.071,1.458,-22.69,1.121,48.4,1321,1.2001
12,2,13,150,150,0,5,25,25.26,1.063,1.56,-22.37,1.129,52.7,1694,1.2
15,4,8,150,150,0,5,23,25.61,1.089,1.579,-23.25,1.102,51.6,2187,1.1998
10,2,18,100,200,100,0,28,22.35,0.94,1.284,-17.52,1.276,48.4,1899,1.1992
15,2,8,250,150,50,5,23,25.23,1.104,1.585,-23.22,1.087,52.7,2743,1.1992
12,2,13,200,150,0,5,25,25.06,1.054,1.543,-22.05,1.137,53.8,1549,1.1975
15,4,18,100,200,50,0,33,24.88,1.082,1.478,-22.49,1.107,46.2,2982,1.1975
8,3,13,250,200,100,0,21,23.56,0.959,1.351,-18.87,1.248,42.9,792,1.197
10,2,13,250,150,100,5,23,25.43,1.1,1.621,-23.37,1.088,52.7,1236,1.1968
7,4,18,250,200,50,0,25,26.06,1.034,1.475,-22.53,1.157,50.5,673,1.1964
7,3,18,250,150,100,0,25,21.07,0.883,1.311,-15.57,1.353,46.2,814,1.1949
8,4,23,250,200,100,0,31,23.46,0.95,1.329,-18.66,1.257,42.9,779,1.1944
12,2,13,200,150,100,5,25,24.89,1.081,1.593,-22.55,1.104,51.6,1569,1.1932
10,2,8,100,200,100,0,18,23.17,0.985,1.346,-19.12,1.212,47.3,2051,1.1931
12,3,18,250,150,0,5,30,26.08,1.085,1.59,-23.72,1.1,52.7,1420,1.1931
8,3,8,100,150,100,0,16,23.78,1.024,1.505,-20.41,1.165,50.5,1590,1.1927
15,3,23,100,150,0,5,38,25.21,1.073,1.566,-22.69,1.111,51.6,3043,1.1919
15,2,13,100,150,0,5,28,24.53,1.041,1.513,-21.44,1.144,53.8,3735,1.1912
12,3,8,150,200,50,0,20,25.45,1.067,1.451,-22.8,1.116,49.5,1489,1.1907
12,3,18,150,150,50,5,30,26.54,1.123,1.646,-25.04,1.06,51.6,1519,1.1901
12,3,13,150,150,50,5,25,26.58,1.116,1.636,-24.97,1.064,52.7,1561,1.1882
15,3,8,200,150,50,5,23,25.68,1.109,1.602,-24.01,1.07,51.6,1984,1.186
10,4,18,150,150,100,5,28,24.29,1.047,1.555,-21.45,1.132,46.2,1283,1.1858
10,4,13,150,200,100,0,23,21.83,0.911,1.275,-16.79,1.3,44.0,1129,1.1839
12,4,13,150,200,100,0,25,22.38,0.967,1.341,-18.27,1.225,47.3,1356,1.1839
7,4,23,250,200,50,0,30,25.31,1.003,1.43,-21.44,1.18,49.5,666,1.1836
15,3,8,100,200,100,0,23,24.01,1.084,1.49,-22.0,1.091,45.1,3357,1.183
7,3,18,250,200,50,0,25,25.9,1.028,1.467,-22.52,1.15,50.5,669,1.1825
15,2,23,250,200,0,5,38,23.32,0.941,1.284,-18.56,1.257,45.1,1630,1.1825
7,2,13,200,150,100,5,20,25.3,1.011,1.521,-21.65,1.169,46.2,873,1.1816
12,3,18,150,150,100,5,30,24.26,1.059,1.553,-21.75,1.115,49.5,1617,1.1813
7,4,13,250,150,100,0,20,21.0,0.876,1.3,-15.58,1.348,46.2,840,1.1809
10,2,18,250,150,50,5,28,26.18,1.099,1.594,-24.37,1.075,53.8,1178,1.1808
12,4,23,250,150,100,0,35,21.63,0.983,1.443,-18.01,1.201,49.5,1393,1.1802
12,4,18,250,150,100,5,30,24.37,1.07,1.586,-22.12,1.102,49.5,1445,1.1791
10,3,23,150,150,100,5,33,25.14,1.082,1.616,-23.09,1.089,48.4,1288,1.1784
12,4,18,200,200,50,0,30,25.06,1.048,1.423,-22.28,1.124,48.4,1185,1.1783
7,3,23,100,200,50,0,30,25.76,1.006,1.425,-21.99,1.171,47.3,1178,1.1781
8,4,18,250,200,100,0,26,23.35,0.947,1.328,-18.79,1.243,42.9,781,1.1774
10,2,18,250,150,0,5,28,24.73,1.026,1.488,-21.56,1.147,51.6,1194,1.1771
10,4,23,150,150,100,5,33,24.27,1.046,1.554,-21.59,1.124,46.2,1280,1.1764
12,2,13,250,150,50,5,25,25.03,1.061,1.549,-22.58,1.108,52.7,1538,1.1758
15,2,8,150,150,0,5,23,24.52,1.041,1.496,-21.71,1.129,54.9,3112,1.1755
10,4,8,100,150,100,0,18,23.1,1.023,1.503,-20.12,1.148,48.4,1995,1.175
12,2,13,150,150,50,5,25,24.95,1.054,1.535,-22.39,1.114,52.7,1669,1.1747
15,3,18,100,150,0,5,33,25.05,1.067,1.558,-22.78,1.099,51.6,3092,1.1736
7,2,13,150,150,100,5,20,25.19,1.01,1.518,-21.69,1.161,47.3,917,1.1729
15,2,18,100,150,0,5,33,24.39,1.035,1.497,-21.52,1.134,51.6,3424,1.1729
7,4,8,250,200,50,0,15,25.69,1.008,1.425,-22.09,1.163,49.5,712,1.1728
8,4,13,200,200,100,0,21,23.45,0.95,1.336,-19.0,1.234,42.9,803,1.1723
7,3,8,250,200,50,0,15,25.69,1.008,1.426,-22.1,1.163,49.5,712,1.172
12,3,13,150,150,0,5,25,25.39,1.05,1.531,-22.76,1.115,51.6,1570,1.1715
12,3,18,200,150,50,5,30,26.54,1.124,1.643,-25.46,1.042,51.6,1382,1.1711
12,3,23,200,150,0,5,35,25.45,1.056,1.544,-22.96,1.109,51.6,1393,1.171
12,3,23,100,200,0,0,35,25.21,1.025,1.401,-22.07,1.143,48.4,2261,1.1707
15,2,13,250,200,0,5,28,24.38,0.988,1.35,-20.59,1.184,48.4,2017,1.1704
8,2,13,150,200,100,0,21,22.97,0.94,1.305,-18.46,1.245,41.8,900,1.1697
12,3,23,250,150,50,5,35,26.6,1.138,1.663,-25.9,1.027,51.6,1389,1.169
7,3,18,150,200,50,0,25,25.71,1.01,1.452,-22.22,1.157,50.5,724,1.1687
8,2,13,250,200,100,0,21,23.02,0.946,1.323,-18.63,1.236,42.9,815,1.1684
15,2,13,150,150,50,5,28,24.2,1.05,1.494,-21.76,1.112,51.6,2448,1.1679
12,4,23,100,200,0,0,35,24.89,1.019,1.418,-21.73,1.146,46.2,2261,1.1676
12,4,23,250,150,100,5,35,24.58,1.08,1.603,-22.76,1.08,49.5,1438,1.1664
12,3,13,200,150,0,5,25,25.4,1.046,1.526,-22.78,1.115,52.7,1434,1.1662
7,4,18,200,150,100,0,25,21.1,0.884,1.302,-15.99,1.319,46.2,822,1.166
12,3,8,250,150,0,5,20,25.46,1.069,1.543,-23.34,1.091,52.7,1555,1.1658
10,2,23,100,200,100,0,33,22.09,0.929,1.263,-17.59,1.255,47.3,1886,1.1657
10,3,8,250,150,100,5,18,24.67,1.055,1.545,-22.34,1.104,47.3,1266,1.1649
8,3,18,150,200,100,0,26,23.22,0.936,1.303,-18.66,1.244,44.0,882,1.1645
12,4,18,100,150,100,0,30,22.81,1.034,1.507,-20.25,1.126,48.4,2360,1.1642
10,4,13,250,200,100,0,23,22.78,0.955,1.339,-18.7,1.218,45.1,967,1.163
8,3,23,100,150,100,0,31,23.6,1.015,1.487,-20.6,1.145,51.6,1482,1.1629
10,2,13,250,150,50,5,23,26.19,1.092,1.583,-24.61,1.064,53.8,1214,1.1618
10,2,23,100,150,100,5,33,24.71,1.059,1.558,-22.53,1.096,49.5,1957,1.1614
12,3,8,150,150,50,5,20,26.24,1.101,1.603,-24.92,1.053,53.8,1647,1.1601
15,2,23,150,150,50,5,38,23.84,1.033,1.485,-21.25,1.122,50.5,2133,1.1584
15,4,23,150,150,0,5,38,25.03,1.057,1.555,-22.86,1.095,50.5,1984,1.158
12,3,18,250,150,50,5,30,26.44,1.132,1.65,-25.86,1.022,51.6,1398,1.157
12,2,23,200,200,0,5,35,25.2,1.0,1.369,-21.78,1.157,46.2,1251,1.1566
8,4,23,200,200,100,0,31,23.61,0.961,1.352,-19.68,1.2,41.8,792,1.1533
12,2,23,250,200,0,5,35,25.09,0.995,1.367,-21.64,1.159,45.1,1239,1.1531
8,3,18,100,150,100,0,26,23.74,1.023,1.496,-21.06,1.127,52.7,1493,1.1528
10,2,13,100,150,100,5,23,24.84,1.068,1.589,-23.02,1.079,49.5,1987,1.1527
12,3,18,250,150,100,5,30,23.96,1.049,1.55,-21.8,1.099,49.5,1450,1.1527
8,2,23,250,200,100,0,31,22.73,0.932,1.302,-18.39,1.236,44.0,797,1.1516
8,2,8,100,150,100,0,16,23.51,0.999,1.479,-20.42,1.151,50.5,1543,1.1505
12,3,13,100,200,0,0,25,24.89,1.007,1.384,-21.8,1.142,48.4,2339,1.1495
10,2,8,200,150,50,5,18,25.33,1.051,1.52,-23.19,1.093,50.5,1261,1.1484
12,4,18,150,200,50,0,30,25.62,1.074,1.459,-23.97,1.069,48.4,1371,1.1484
7,4,18,150,200,50,0,25,25.53,0.999,1.423,-22.22,1.149,50.5,723,1.1477
12,4,23,150,200,100,0,35,21.11,0.899,1.242,-16.54,1.276,47.3,1346,1.1474
15,4,13,250,150,0,5,28,25.21,1.069,1.568,-23.5,1.073,49.5,1874,1.1473
12,3,8,100,200,50,0,20,25.0,1.046,1.42,-22.8,1.097,46.2,2498,1.1467
7,4,23,200,150,100,0,30,21.05,0.882,1.299,-16.19,1.3,45.1,823,1.1464
8,4,13,250,200,100,0,21,23.14,0.934,1.308,-18.88,1.226,42.9,791,1.1447
10,3,8,150,150,100,5,18,24.74,1.056,1.562,-22.84,1.083,47.3,1373,1.1441
10,2,13,100,200,100,0,23,22.37,0.939,1.288,-18.36,1.219,47.3,1939,1.1439
15,4,8,200,150,0,5,23,24.98,1.057,1.531,-23.09,1.082,51.6,1971,1.1431
12,2,13,200,150,50,5,25,24.72,1.039,1.522,-22.47,1.1,51.6,1500,1.1428
8,2,13,200,200,100,0,21,22.29,0.91,1.273,-17.76,1.255,41.8,835,1.142
