top_n,max_per_sector,exit_rank_buffer,dma_exit,regime_dma,min_price,min_avg_value_cr,exit_cutoff,cagr_pct,sharpe,sortino,max_dd_pct,calmar,win_rate,trades,composite
7,4,13,250,150,0,0,20,31.8,1.315,2.041,-16.27,1.955,52.7,808,2.5712
7,4,13,200,150,0,0,20,31.63,1.321,2.034,-16.28,1.942,51.6,823,2.5668
15,2,23,250,150,0,0,38,32.27,1.508,2.195,-18.97,1.702,53.8,1819,2.5659
7,3,13,200,150,0,0,20,31.63,1.318,2.029,-16.28,1.943,52.7,830,2.5607
15,2,23,200,150,0,0,38,32.28,1.506,2.185,-19.03,1.696,53.8,1842,2.5542
10,2,13,150,150,0,0,23,33.42,1.482,2.274,-19.42,1.721,50.5,1231,2.551
12,2,8,200,200,0,0,20,32.95,1.392,1.939,-17.98,1.833,50.5,1417,2.5507
15,2,23,200,200,100,0,38,27.43,1.278,1.741,-13.75,1.995,48.4,1502,2.5493
15,3,13,150,150,0,0,28,33.8,1.557,2.273,-20.67,1.635,54.9,1970,2.5456
10,3,18,250,150,0,0,28,33.43,1.47,2.205,-19.31,1.731,51.6,1144,2.544
15,2,8,200,150,0,0,23,33.31,1.533,2.28,-20.14,1.654,54.9,2399,2.5365
10,3,8,150,150,0,0,18,33.66,1.474,2.207,-19.6,1.717,51.6,1293,2.5312
15,4,18,200,150,0,0,33,33.23,1.511,2.237,-19.91,1.669,53.8,1745,2.5223
8,3,8,250,150,0,0,16,33.59,1.428,2.185,-19.06,1.762,50.5,970,2.5168
15,3,18,250,150,0,0,33,33.85,1.541,2.241,-20.87,1.622,54.9,1779,2.5005
15,3,13,250,150,0,0,28,33.16,1.528,2.231,-20.36,1.629,54.9,1818,2.4896
10,2,13,200,150,0,0,23,33.06,1.469,2.257,-19.52,1.694,50.5,1170,2.4883
15,4,18,150,150,0,0,33,32.76,1.495,2.206,-19.71,1.662,53.8,1887,2.486
15,3,23,250,150,0,0,38,32.97,1.508,2.189,-20.02,1.647,53.8,1702,2.484
12,2,8,150,200,0,0,20,32.79,1.39,1.928,-18.39,1.783,51.6,1582,2.4779
10,2,23,250,150,0,0,33,32.31,1.436,2.202,-18.78,1.72,50.5,1123,2.4703
10,2,23,200,150,0,0,33,32.39,1.441,2.197,-18.92,1.712,50.5,1132,2.4675
15,2,23,150,200,100,0,38,26.34,1.219,1.653,-13.03,2.021,47.3,1745,2.4651
8,3,13,250,150,0,0,21,33.12,1.398,2.178,-18.79,1.762,50.5,924,2.4637
7,4,8,200,150,0,0,15,32.05,1.353,2.086,-17.61,1.82,52.7,861,2.4614
15,2,23,200,150,50,0,38,31.11,1.478,2.151,-18.82,1.653,52.7,1815,2.4434
10,2,8,150,200,0,0,18,32.79,1.365,1.967,-18.32,1.789,48.4,1210,2.4426
15,3,18,200,150,0,0,33,33.45,1.524,2.206,-20.88,1.602,54.9,1802,2.4422
15,3,18,150,150,0,0,33,33.22,1.513,2.205,-20.6,1.612,54.9,1895,2.4389
8,3,8,200,150,0,0,16,33.17,1.402,2.161,-19.11,1.736,50.5,984,2.433
10,2,13,250,150,0,0,23,32.82,1.456,2.231,-19.64,1.671,50.5,1158,2.4325
15,4,23,200,150,0,0,38,32.44,1.475,2.177,-19.71,1.646,53.8,1701,2.428
15,2,18,150,200,0,0,33,31.91,1.4,1.917,-18.43,1.731,50.5,1858,2.424
15,4,18,150,150,100,0,33,28.55,1.386,2.043,-16.34,1.748,52.7,1918,2.4229
7,2,13,200,150,0,0,20,32.96,1.386,2.129,-18.87,1.747,51.6,825,2.4204
15,4,23,250,150,0,0,38,32.26,1.467,2.167,-19.62,1.644,53.8,1704,2.4131
10,3,13,250,150,0,0,23,33.05,1.45,2.175,-19.86,1.664,51.6,1164,2.4122
15,2,18,150,200,100,0,33,26.84,1.249,1.686,-13.92,1.928,48.4,1825,2.4076
15,2,13,150,150,100,0,28,27.37,1.327,1.939,-15.12,1.811,52.7,2201,2.4023
7,2,18,200,150,0,0,25,32.74,1.356,2.112,-18.49,1.771,50.5,818,2.4016
15,4,23,150,150,100,0,38,28.4,1.382,2.037,-16.35,1.736,52.7,1902,2.4002
