Date,AAL,ANTO,AUTO,AV,AZN,BAE,BARC,BATS,BLND,BP,BT-A,CNA,COB,COG,CTEC,DGE,DLG,DPLM,EXPN,FDM,FRES,GKN,GLEN,GSK,HIK,HLMA,HSBA,ICG,IMB,IMI,IPG,JD,LAND,LGEN,LLOY,LXI,MKS,MNG,MONY,NEM,NG,NWG,NXT,OCDO,PRU,QQ,RIO,RR,SAGE,SBRE,SBRY,SDRC,SGRO,SHEL,SN,SPX,SSE,STAN,SVT,TLW,TSCO,ULVR,UU,VMUK,VOD,WEIR,WPP
2016-01-19,19255985,4425832,1801638,7309252,2047264,,35139323.0,2146893,4636685,50643592.0,13475977,12184984,,31247,,3396246.0,,168241,2143232,1083422,1547603,,98806421.0,8464209,361157,468615,25729909.0,1175327,1737192.0,584412,,8740100,2424121,11233746,210170994,,4374230,,1509059,,6883615,11188031,540943,7157625,8703137,2078587,5743394.0,12826025.0,,,5948685,,1274114,10928535,2074414.0,84329,3782294,9174874,675119,13386811,35567885,3057567,1180804,,51142282,942372,2633062.0
2016-01-20,16298923,4000970,3306488,12782424,2606965,,52318608.0,3040828,4506311,63283399.0,16032124,17440531,,3832,,4835883.0,,73075,3355469,47214,2103860,,119153346.0,9098226,473290,703840,41067844.0,1818847,2884766.0,880554,,4981500,2212897,19850066,189241743,,5443357,,1974793,,8962116,16551493,570671,4681118,10150253,2002119,6175607.0,26985073.0,,,6801302,,2111919,16535139,2504593.0,113678,4539211,9691049,845979,10038006,51221046,3543493,1605315,,75335218,1253554,2884115.0
2016-01-21,25294071,3200375,2907804,9950631,3290941,,65099459.0,3348278,5689041,53447768.0,21609256,16015662,,0,,6732931.0,,175163,3268983,104780,1844422,,172432829.0,9889476,457186,770044,44713758.0,818520,2838194.0,1047078,,4881400,3288620,17229945,171673945,,6429383,,1615517,,10719612,16178454,572902,4351689,8358580,1603417,6804801.0,35133002.0,,,11419152,,2532473,12344131,2959155.0,140260,5857659,9105739,703499,9388005,22087937,3686060,1672022,,66255973,1256302,4631569.0
2016-01-22,24593067,6607261,4296636,11854133,2750551,,50097304.0,2567952,5299808,48161137.0,21548520,14449357,,0,,4811731.0,,270115,2214642,7273,1427391,,108833043.0,8706471,488443,512532,24158930.0,543126,1915873.0,740438,,8269575,3202943,12655363,142263043,,8166088,,2295132,,8138487,12987254,683608,3232202,7731405,1639576,8044698.0,17949218.0,,,8906775,,1280417,11204126,2856082.0,87598,4219603,8698344,493083,22315220,28265468,2435190,1403276,,56379922,798950,3101551.0
2016-01-25,14592380,4368793,2845333,7906136,2066962,,48650638.0,2625287,4230196,47281529.0,21798491,14466300,,12870,,5065665.0,,60273,2042883,9761,1443195,,70868810.0,12026436,585327,1031850,34869118.0,492802,1476906.0,1426962,,6826275,1816076,9355797,190843090,,6819893,,1017752,,7279873,14110920,481104,2360058,7154161,890987,5908710.0,14376670.0,,,5427300,,1239758,10494291,1823023.0,79810,2923370,7273402,335909,10313232,17370816,2069266,905683,,42232678,1227601,3320242.0
2016-01-26,22415373,5392448,2262768,7171662,2551962,,60932969.0,2184425,3784441,42093229.0,20640661,13037722,,2000,,6051085.0,,45917,1892611,5541,1715242,,87855252.0,9881831,234204,680845,30635371.0,609125,1923991.0,1372086,,2911225,2162453,15916396,163795325,,5143628,,1184738,,6129281,19382973,519276,3850944,8146678,2413820,5970001.0,14826260.0,,,5975374,,1541370,10574819,1823360.0,121968,3651420,9135370,429170,14484618,21612521,2677306,1230471,,56166155,1508385,2374004.0
2016-01-27,16868944,5135190,1638427,8124879,2262487,,40891761.0,2834807,3906445,41412899.0,15020615,17089393,,4115,,7108975.0,,117016,1797182,3650,1199901,,95204865.0,9764939,342218,717146,28572398.0,388372,2065894.0,734857,,5510100,2146083,12331808,171526712,,5494322,,2969701,,7480545,24439006,803669,4040552,6037340,1537290,6066383.0,20719880.0,,,7398173,,2124758,15843362,2312559.0,93046,3753333,8604355,437483,14915499,18513987,2692642,1350546,,47934796,1282686,3365159.0
2016-01-28,23687631,6120086,2240228,6870326,3367716,,36740224.0,3560688,2165952,62408952.0,12228332,36794962,,0,,7818143.0,,42582,1526825,14494,1441792,,101165658.0,10640734,416016,662264,32053070.0,446052,1640460.0,627659,,1644775,2599389,16497622,109003837,,5760840,,2390267,,6927743,13702356,475643,1790108,5797338,2022023,6969482.0,18935222.0,,,6154325,,2402685,16887901,2307306.0,94107,3068042,9045964,731315,20591439,27822956,1989374,1121641,,70892376,2550418,2681621.0
2016-01-29,15532205,4370248,3784596,9340649,3094883,,57835626.0,4159014,3962587,56502071.0,22492266,20957725,,0,,6410708.0,,67291,3845464,6278,1404557,,72499156.0,13336170,340667,570357,37312821.0,765803,2864429.0,936256,,2230450,3452714,16023622,175574798,,5545923,,2054320,,11708987,16859280,499908,3158450,7093217,2006924,5844873.0,21839748.0,,,10200000,,2762743,11897039,2783723.0,99700,3621544,11937318,872034,15271118,42419831,3435890,1949867,,77295556,1194991,3598634.0
2016-02-01,13009479,3797322,3738698,8805168,2679148,,38834066.0,3792402,4139682,54869714.0,27890422,17360682,,0,,7276642.0,,141222,2244409,18907,1353452,,57761076.0,10013845,277174,569331,31141420.0,602112,2291800.0,955424,,3977475,2192870,16097284,145104318,,4473747,,1086531,,7175452,14818108,431201,3240434,7538276,1639033,3967486.0,17302110.0,,,6852596,,1594424,11114785,4728475.0,109332,3565802,7640325,604811,10124106,29508598,2612534,1690400,,59763128,1188767,2594550.0
2016-02-02,13801739,4444903,3173397,8223364,2567765,,45374492.0,2578248,3022169,83735685.0,23466401,14190440,,0,,4888190.0,,39995,1863476,16011,1425845,,67562467.0,8776173,373021,433500,47887187.0,679937,2142051.0,1218356,,20781625,2069716,37795037,192112600,,4676378,,1119189,,9066326,17152774,491615,5730229,15736839,1434329,6409968.0,20998196.0,,,16194761,,1496744,9288592,2211117.0,114078,2393105,10909969,573773,8545538,24325338,3543487,1250639,,103912946,1466512,2639718.0
2016-02-03,13131762,4416340,2848153,9235215,3498003,,73258391.0,3812531,4264581,54849782.0,19370446,14635059,,38516,,4393017.0,,89324,1913172,1934,1627369,,74710643.0,13565023,569225,836939,51066719.0,703397,2145302.0,889144,,6249025,1802708,37703417,171536717,,5679895,,1010477,,8150792,18045157,638539,4136890,16214874,1007565,6060807.0,19863510.0,,,11442054,,1613135,7397641,2546176.0,99605,2658731,14245415,502825,10935111,19049442,3403855,1146928,,107948240,1899058,3498685.0
2016-02-04,28264828,7057162,2658401,15462332,6036386,,80582665.0,3288075,3903436,59332758.0,16410560,18425112,,5500,,6884650.0,,62769,2224720,4069,2686033,,129653990.0,10112779,464546,743835,37235070.0,612673,2504260.0,867017,,2509800,2147106,29442487,127439872,,5214809,,1516359,,7196446,18805783,348897,2858694,9317739,1347357,9236049.0,24554662.0,,,6430000,,1970566,15319072,3931299.0,139361,2921344,16844026,436872,13327660,18139947,3524584,1949729,,100343195,1924558,3081495.0
2016-02-05,40150504,6339893,1905860,11964491,4912774,,48965004.0,2512261,4150583,34045330.0,16491336,16411113,,12517,,5602835.0,,70107,2120005,922,2537889,,144683564.0,9831327,383442,1039372,30846732.0,1395031,2421996.0,1459804,,3213425,3147129,32133384,142689278,,4557257,,1309483,,7786567,15846163,464714,6398305,8340153,1538447,8904052.0,24363391.0,,,8926827,,1802737,11273256,3040394.0,206503,2466213,10334203,433769,13521814,44850193,3539518,1328279,,78756610,1045709,4292723.0
2016-02-08,18092262,6577188,4985029,13588850,6369908,,61112475.0,3889532,5743545,36702379.0,23852896,11404068,,1553,,4505787.0,,37266,2489525,16050,2451030,,86106379.0,11077302,346454,1232483,38523302.0,1642164,2268749.0,854515,,4897875,3696239,29758211,168444396,,6635868,,4274170,,9424088,18074312,575029,4106668,9905562,1777766,7536073.0,29819363.0,,,9862042,,1698272,8659809,2714389.0,164331,3167618,10979765,588122,11556084,24799133,3876606,1718024,,78357898,1494293,5830255.0
2016-02-09,16096588,6451977,3493125,12087054,5018116,,69827807.0,3713071,5758917,44362725.0,21876349,14219159,,28878,,4694098.0,,123098,3081794,4127,2201168,,77982389.0,11851326,549513,1093128,49760308.0,852190,2477609.0,1433004,,5443850,2897571,39516714,269347254,,6373917,,1789001,,9054865,18119271,794360,2358628,9429850,3159902,5838871.0,22157053.0,,,5975252,,1965657,12005997,3074237.0,181034,4181990,10384024,751514,10406909,28732786,3767011,1505999,,71339138,1480011,5183454.0
2016-02-10,12825287,4551312,2191285,12100558,4441121,,82269718.0,3309139,4006082,40080067.0,13875750,13246481,,0,,4486434.0,,86231,2109085,3461,1924022,,82227940.0,10374161,2110628,965668,39108142.0,640950,2548291.0,1094254,,3250325,2584396,31048804,190492315,,7550903,,1197465,,9469039,20589333,574710,3853506,9282562,2688418,5005338.0,28714706.0,,,5017339,,1288408,11520022,2795166.0,143615,2785036,12483080,463064,17880065,38456295,2937166,1461426,,54145053,1331807,4433468.0
2016-02-11,15507449,5144203,2254485,11663029,4089938,,87421203.0,3964817,5096867,48991591.0,14210859,19174472,,12918,,6711694.0,,56523,2180476,27309,2688571,,65981773.0,11255819,637589,1160186,55364472.0,627674,3862589.0,1257063,,2342800,2711310,33342989,167531274,,8209378,,2191821,,11081020,18818414,444995,3894086,11194250,1523173,7873208.0,30258972.0,,,5936021,,2431202,14494279,3703141.0,168637,2760947,11533817,437678,12279328,39795540,3693612,1878862,,70094745,931894,4095252.0
2016-02-12,15736939,5125467,3138312,24305373,3906692,,65583733.0,3382513,9142691,56260825.0,25002891,17912839,,566,,6326286.0,,137496,2077142,8854,2138621,,91697531.0,10197661,519098,981007,37659737.0,683665,4692184.0,852278,,2528775,4433858,20986298,153947298,,6971888,,1271704,,8479845,20149025,458746,1626620,10395280,1764052,10174792.0,65559858.0,,,5294813,,2034117,18515611,2044730.0,190735,3235516,13063588,564186,16942528,26302272,3226237,2100303,,61097833,1167965,3530280.0
2016-02-15,14853421,3215251,2013712,7808315,2029439,,40965023.0,1826508,4310834,36500385.0,13263809,13066531,,0,,3574643.0,,98351,1308460,10389,1819569,,53329551.0,9565584,662572,751287,24310465.0,401501,3451300.0,468099,,2368900,1684181,14073117,167523253,,3990899,,808679,,4504108,8946715,498815,1950900,8692400,898118,5597163.0,35550780.0,,,5439407,,1338575,7810201,2122486.0,237603,1884418,9034958,434602,11442869,19233344,1867550,851267,,61308115,1508851,2365543.0
2016-02-16,20111684,2944621,2395371,7870554,2106937,,40946815.0,2204719,3608573,54103093.0,13305399,11836318,,5000,,3690072.0,,37549,1522834,29313,2060114,,79030746.0,7289007,470952,902234,29034060.0,427261,2280684.0,729418,,2315900,2069946,11631529,119149806,,5050707,,1037579,,5962704,12568212,410177,2352426,6055409,986598,5148167.0,28520781.0,,,5700550,,1324676,11633002,2403620.0,109281,2456054,11398917,367056,14713841,20373473,2220779,1180367,,60244211,1600351,2346324.0
2016-02-17,24442641,4530074,5124494,12979212,3869310,,42633762.0,2698311,2880312,53916643.0,15465905,19569836,,1189,,3658822.0,,90439,1448340,150209,1868310,,153949280.0,10165461,657517,714433,30822641.0,596317,2148040.0,994287,,2600475,1600753,27727807,123795071,,6192588,,1129095,,7624398,10708894,552277,1955934,6470532,1936441,6198252.0,42051499.0,,,10907671,,1668123,13447709,3034673.0,95665,3356960,14874331,799647,14877051,35093477,2185715,1415785,,57840548,1948967,3084123.0
2016-02-18,29029247,4083114,2974032,8758935,3423580,,54745700.0,3938688,2927534,43395070.0,14305504,31940961,,7939,,3441213.0,,274405,1319331,4643,1612978,,83380003.0,9576880,328026,689709,24849618.0,608704,2606592.0,616240,,2366050,1306067,14961192,107730262,,5874200,,697992,,5689994,11566064,426013,1825311,5128383,1437561,7634467.0,27035011.0,,,6946980,,1634785,14352370,2330507.0,142208,2653227,9564136,413284,19081109,19397245,2212936,1354945,,84946290,973651,2597176.0
2016-02-19,12377009,2767099,3339623,6323892,3026112,,49234427.0,2321477,2842762,24990247.0,11710285,23416412,,1727,,2909062.0,,211364,1577334,40489,1905583,,57523473.0,7070296,489045,686504,22369263.0,877489,2232146.0,714419,,3038875,1379960,11947224,126240675,,6030014,,1354842,,5242490,14832791,356687,1165699,6034222,946885,5496305.0,22440526.0,,,4773926,,2139001,8108868,2369895.0,117484,2170107,8702561,357905,10064216,18017738,2150939,824925,,59956670,940395,2567847.0
